 	tnxk,txwk
¡	zzbd
¢	zzhb
£	zzhb
¤	zzhb,vtje,vtve
¥	hww,zzhb
¦	zzbd
§	zzbd,aphp,apkp
©	hjka,hjkh,hjkx,zzbp
¬	zzlj,xfff
®	cinn,jinh,zzbp
°	jsay,zzts
±	hyhr,hyhb,zzsx
²	lhze,tvif
³	lhes,ilif
µ	zzts,muhd
¶	zzbd,fwhc
·	npos,xpos,zzbd
¹	lhhv
¼	zzfs
½	zzfs
¾	zzfs
¿	zzbd
À	zzzd
Á	zzzd
Â	zzzd
Ã	zzzd
Ä	zzzd
Å	zzzd
Æ	zzzd
Ç	zzzd
È	zzzd
É	zzzd
Ê	zzzd
Ë	zzzd
Ì	zzzd
Í	zzzd
Î	zzzd
Ï	zzzd
Ð	zzzd
Ñ	zzzd
Ò	zzzd
Ó	zzzd
Ô	zzzd
Õ	zzzd
Ö	zzzd
×	kktb,aqkk,zzsx
Ø	zzzd
Ù	zzzd
Ú	zzzd
Û	zzzd
Ü	zzzd
Ý	zzzd
Þ	zzzd
ß	zzzx
à	zzzx,zzpy
á	zzzx,zzpy
â	zzzx,zzpy
ã	zzzx
ä	zzzx
å	zzzx
æ	zzzx,ybae
ç	zzzx
è	zzzx,zzpy
é	zzzx,zzpy
ê	zzzx,zzpy
ë	zzzx
ì	zzzx,zzpy
í	zzzx,zzpy
î	zzzx,zzpy
ï	zzzx
ð	zzzx,ybth
ñ	zzzx
ò	zzzx,zzpy
ó	zzzx,zzpy
ô	zzzx,zzpy
õ	zzzx
ö	zzzx
÷	pakv,zzsx
ø	zzzx
ù	zzzx,zzpy
ú	zzzx,zzpy
û	zzzx,zzpy
ü	zzzx,zzpy,pyyu
ý	zzzx
þ	zzzx
ÿ	zzzx
Ā	zzzd
ā	zzzx,zzpy
Ē	zzzd
ē	zzzx,zzpy
Ě	zzzd
ě	zzzx,zzpy
ħ	zzyb
Ī	zzzd
ī	zzzx,zzpy
Ń	zzzd
ń	zzzx,zzpy
Ň	zzzd
ň	zzzx,zzpy
ŋ	zzyb,ybng
Ō	zzzd
ō	zzzx,zzpy
œ	zzyb,yboe
Ū	zzzd
ū	zzzx,zzpy
Ÿ	zzzd
ƒ	zzhb
Ǎ	zzzd
ǎ	zzzx,zzpy
Ǐ	zzzd
ǐ	zzzx,zzpy
Ǒ	zzzd
ǒ	zzzx,zzpy
Ǔ	zzzd
ǔ	zzzx,zzpy
Ǖ	zzzd
ǖ	zzzx,zzpy
Ǘ	zzzd
ǘ	zzzx,zzpy
Ǚ	zzzd
ǚ	zzzx,zzpy
Ǜ	zzzd
ǜ	zzzx,zzpy
Ǹ	zzzd
ǹ	zzzx,zzpy
ɐ	zzyb
ɑ	zzyb
ɒ	zzyb
ɓ	zzyb
ɔ	zzyb,ybor
ɕ	zzyb
ɖ	zzyb
ɗ	zzyb
ɘ	zzyb
ə	zzyb,yber
ɚ	zzyb
ɛ	zzyb,ybee
ɜ	zzyb
ɝ	zzyb
ɞ	zzyb
ɟ	zzyb
ɠ	zzyb
ɡ	zzyb
ɢ	zzyb
ɣ	zzyb
ɤ	zzyb
ɥ	zzyb
ɦ	zzyb
ɧ	zzyb
ɨ	zzyb
ɪ	zzyb
ɫ	zzyb
ɬ	zzyb
ɭ	zzyb
ɮ	zzyb
ɯ	zzyb
ɰ	zzyb
ɱ	zzyb
ɲ	zzyb
ɳ	zzyb
ɴ	zzyb
ɵ	zzyb
ɶ	zzyb
ɷ	zzyb
ɸ	zzyb
ɹ	zzyb
ɺ	zzyb
ɻ	zzyb
ɼ	zzyb
ɽ	zzyb
ɾ	zzyb
ɿ	zzyb
ʀ	zzyb
ʁ	zzyb
ʂ	zzyb
ʃ	zzyb,ybsh
ʄ	zzyb
ʅ	zzyb
ʆ	zzyb
ʇ	zzyb
ʈ	zzyb
ʉ	zzyb
ʊ	zzyb
ʋ	zzyb
ʌ	zzyb
ʍ	zzyb
ʎ	zzyb
ʏ	zzyb
ʐ	zzyb
ʑ	zzyb
ʒ	zzyb,ybzh
ʔ	zzyb,ybhs,omid
ʕ	zzyb
ʖ	zzyb
ʘ	zzyb
ʙ	zzyb
ʛ	zzyb
ʜ	zzyb
ʝ	zzyb
ʞ	zzyb
ʟ	zzyb
ʡ	zzyb
ʢ	zzyb
ʣ	zzyb
ʤ	zzyb
ʥ	zzyb
ʦ	zzyb
ʧ	zzyb
ʨ	zzyb
ʩ	zzyb
ʪ	zzyb
ʫ	zzyb
ʰ	zzsz
ʲ	zzsz
ʳ	zzsz
ʷ	zzsz
ʸ	zzsz
ˆ	zzsd
ˇ	zzsd
ˉ	zzsd
ˊ	zzsd
ˋ	zzsd
ː	zzbd
̀	zzzh,yuyp
́	zzzh,pdtv
̂	zzzh,ffid
̄	zzzh,pmtv,patv
̈	zzzh,apid
̌	zzzh,lhyp
̚	zzzh,zzyb,ybrs,jqyp
Α	zzxd,xdal
Β	zzxd,xdbe
Γ	zzxd,xdga
Δ	zzxd,xdde
Ε	zzxd,xdep
Ζ	zzxd,xdze
Η	zzxd,xdet
Θ	zzxd,xdth
Ι	zzxd,xdio
Κ	zzxd,xdka
Λ	zzxd,xdla
Μ	zzxd,xdmu
Ν	zzxd,xdnu
Ξ	zzxd,xdxi
Ο	zzxd,xdom
Π	zzxd,xdpi
Ρ	zzxd,xdrh
Σ	zzxd,xdsi
Τ	zzxd,xdta
Υ	zzxd,xdup
Φ	zzxd,xdph
Χ	zzxd,xdch
Ψ	zzxd,xdps
Ω	zzxd,xdom
α	zzxx,xxal
β	zzxx,xxbe
γ	zzxx,xxga
δ	zzxx,xxde
ε	zzxx,xxep
ζ	zzxx,xxze
η	zzxx,xxet
θ	zzxx,xxth
ι	zzxx,xxio
κ	zzxx,xxka
λ	zzxx,xxla
μ	zzxx,xxmu
ν	zzxx,xxnu
ξ	zzxx,xxxi
ο	zzxx,xxom
π	zzxx,xxpi
ρ	zzxx,xxrh
ς	zzxx,xxsi
σ	zzxx,xxsi
τ	zzxx,xxta
υ	zzxx,xxup
φ	zzxx,xxph
χ	zzxx,xxch
ψ	zzxx,xxps
ω	zzxx,xxom
ϑ	zzxx
ϕ	zzxx
ϖ	zzxx
Ϛ	zzxd
ϛ	zzxx
Ё	zzed
А	zzed
Б	zzed
В	zzed
Г	zzed
Д	zzed
Е	zzed
Ж	zzed
З	zzed
И	zzed
Й	zzed
К	zzed
Л	zzed
М	zzed
Н	zzed
О	zzed
П	zzed
Р	zzed
С	zzed
Т	zzed
У	zzed
Ф	zzed
Х	zzed
Ц	zzed
Ч	zzed
Ш	zzed
Щ	zzed
Ъ	zzed
Ы	zzed
Ь	zzed
Э	zzed
Ю	zzed
Я	zzed
а	zzex
б	zzex
в	zzex
г	zzex
д	zzex
е	zzex
ж	zzex
з	zzex
и	zzex
й	zzex
к	zzex
л	zzex
м	zzex
н	zzex
о	zzex
п	zzex
р	zzex
с	zzex
т	zzex
у	zzex
ф	zzex
х	zzex
ц	zzex
ч	zzex
ш	zzex
щ	zzex
ъ	zzex
ы	zzex
ь	zzex
э	zzex
ю	zzex
я	zzex
ё	zzex
฿	zzhb
ᴬ	zzsz
ᴮ	zzsz
ᴰ	zzsz
ᴱ	zzsz
ᴳ	zzsz
ᴴ	zzsz
ᴵ	zzsz
ᴶ	zzsz
ᴷ	zzsz
ᴸ	zzsz
ᴹ	zzsz
ᴺ	zzsz
ᴼ	zzsz
ᴾ	zzsz
ᴿ	zzsz
ᵀ	zzsz
ᵁ	zzsz
ᵂ	zzsz
ᵃ	zzsz
ᵇ	zzsz
ᵈ	zzsz
ᵉ	zzsz
ᵍ	zzsz
ᵏ	zzsz
ᵐ	zzsz
ᵒ	zzsz
ᵖ	zzsz
ᵗ	zzsz
ᵘ	zzsz
ᵛ	zzsz
ᵢ	zzxz
ᵣ	zzxz
ᵤ	zzxz
ᵥ	zzxz
ᵦ	zzxx
ᵧ	zzxx
ᵨ	zzxx
ᵩ	zzxx
ᵪ	zzxx
Ḿ	zzzd
ḿ	zzzx,zzpy
​	tmmk
‍	tmtf,tmff
—	tfos
―	zzbd
‖	zzbd
†	zzbd
‡	zzbd
•	zzbd
‣	zzbd
․	zzbd
‥	zzbd
…	xqos
‧	zzbd
‪	ujhj
‫	ujkj
‬	ujwk
‭	hjko
‮	kjko
‰	fqap,zzsx
‱	hhap,hdap,zzsx
′	apdb,zzts
″	kxjv,zzts
‸	zzbd
※	zzbd,urys,uuys
‼	zzbd
‽	zzbd
‾	zzbd
⁂	zzbd
⁃	zzbd
⁇	zzbd
⁈	zzbd
⁉	zzbd
⁠	iwtf,jwff
⁦	pjhj
⁧	pjkj
⁰	lhta,lhov
ⁱ	zzsz
⁴	lhqs
⁵	lhtc
⁶	lhia
⁷	lhtq
⁸	lhab
⁹	lhxj
⁺	zzsf
⁻	zzsf
⁼	zzsf
ⁿ	zzsz
₀	txta,txov
₁	txhv
₂	txze
₃	txes
₄	txqs
₅	txtc
₆	txia
₇	txtq
₈	txab
₉	txxj
₊	zzxf
₋	zzxf
₌	zzxf
ₐ	zzxz
ₑ	zzxz
ₒ	zzxz
ₓ	zzxz
ₕ	zzxz
ₖ	zzxz
ₗ	zzxz
ₘ	zzxz
ₙ	zzxz
ₚ	zzxz
ₛ	zzxz
ₜ	zzxz
₠	zzhb
₡	zzhb
₢	zzhb
₣	zzhb
₤	zzhb
₥	zzhb
₦	zzhb
₧	zzhb
₨	zzhb
₩	zzhb
₪	zzhb
₫	zzhb
€	cxhw,cohw,zzhb
₭	zzhb
₮	zzhb
₯	zzhb
₰	zzhb
₱	zzhb
⃢	zzzh,aokc
ℂ	sxdc
℃	fcjs,zzts
ℇ	zzts
℉	vcjs,hcjs,zzts
ℍ	sxdh
ℎ	zzts
ℏ	zzts
ℕ	sxdn
№	zzts,jaos
℗	zzbp
ℙ	sxdp
ℚ	sxdq
ℝ	sxdr
℞	dlif,daif,jdif,zzbp
℠	mpdx,mprd,zzbp
℡	dlib,tdjb,zzbp
™	inkz,inks,zzbp
ℤ	sxdz
℥	zzts
Ω	zzts,cxdd,codd
K	zzts
Å	zzts,yulr
⅐	zzfs
⅑	zzfs
⅒	zzfs
⅓	zzfs
⅔	zzfs
⅕	zzfs
⅖	zzfs
⅗	zzfs
⅘	zzfs
⅙	zzfs
⅚	zzfs
⅛	zzfs
⅜	zzfs
⅝	zzfs
⅞	zzfs
⅟	zzfs
Ⅰ	hvvv
Ⅱ	zeee
Ⅲ	esss
Ⅳ	qsss
Ⅴ	tcv
Ⅵ	iab
Ⅶ	tqqq
Ⅷ	abbb
Ⅸ	xjjj
Ⅹ	fsss
Ⅺ	fshv
Ⅻ	fsze
Ⅼ	tcfs
Ⅽ	hvtd
Ⅾ	tctd
Ⅿ	hvfq
ⅰ	hvvv
ⅱ	zeee
ⅲ	esss
ⅳ	qsss
ⅴ	tcv
ⅵ	iab
ⅶ	tqqq
ⅷ	abbb
ⅸ	xjjj
ⅹ	fsss
ⅺ	fshv
ⅻ	fsze
ⅼ	tcfs
ⅽ	hvtd
ⅾ	tctd
ⅿ	hvfq
←	zzjt
↑	zzjt
→	zzjt
↓	zzjt
↔	zzjt
↕	zzjt
↖	zzjt
↗	zzjt
↘	zzjt
↙	zzjt
↰	zzjt
↱	zzjt
↲	zzjt
↳	zzjt
↴	zzjt
↵	zzjt
↶	zzjt
↷	zzjt
↸	zzjt
↹	zzdn,lnyc
↺	zzjt
↻	zzjt
⇋	mija
⇐	zzjt
⇑	zzjt
⇒	zzjt
⇓	zzjt
⇔	zzjt
⇕	zzjt
⇖	zzjt
⇗	zzjt
⇘	zzjt
⇙	zzjt
⇞	zzdn,lhty,lhby
⇟	zzdn,txty,txby
⇪	zzdn,rdns,rdmu
⇬	zzdn,rdns,rdmu
⇭	zzdn,xdmz,qdmz
⇱	zzdn,yzdu,ypdu
⇲	zzdn,wyko
∀	zzsx
∁	zzsx
∂	zzsx,vmap
∃	zzsx
∄	zzsx
∅	zzsx,maek,mwek
∆	zzsx,yvdh
∇	zzsx
∈	zzsx
∉	zzsx
∋	zzsx
∌	zzsx
∎	zzsx
∏	zzsx,qwkk
∑	zzsx,qwxo
−	vgjo,cgjo,zzsx
∓	hrhy,hbhy,zzsx
∕	pakv,zzsx
∗	zzsx
∘	zzsx
∙	zzsx
√	kpos,tikp,zzsx
∛	zzsx
∜	zzsx
∝	hytt,zzsx
∞	hmrd,lmrd,zzsx
∟	zzsx
∠	zzsx
∥	zzsx,tvxh
∦	zzsx
∧	zzlj,shv,usia,usja
∨	zzlj,gohv
∩	zzsx
∪	zzsx
∫	zzsx,koap,kyap
∬	zzsx,ajka,ejka
