好	a	女子
地	b	土也
没	c	氵几又
看	d	龵目
大	e	大
在	f	丨土
得	g	彳旦寸
了	h	了
不	i	不
能	j	厶月匕匕
的	k	白勹丶
也	l	也
我	m	丿扌戈
是	n	旦龰
以	o	乙丶人
就	p	小尢丶
一	q	一
出	r	屮凵
个	s	人丨
和	t	禾口
给	u	纟亼口
上	v	上
着	w	目
来	x	未丷
这	y	亠乂辶
那	z	阝
毒	aa	龶母
甸	ab	勹田
负	ac	⺈贝
妇	ad	女彐
姨	ae	女大弓
麦	af	龶夂
姓	ah	女生
妙	ai	女少
句	aj	句
如	ak	女口
她	al	女也
母	am	母
女	an	女
角	ao	⺈用
嫁	ap	女宀豕
欠	aq	欠
娅	ar	女亚
姐	at	女且
素	au	龶糸
久	av	丶
色	aw	⺈巴
妹	ax	女未
表	ay	龶
娜	az	女阝
坎	ba	土欠
封	bb	土土寸
坝	bc	土贝
寺	bd	土寸
堆	be	土隹
略	bf	田夂口
址	bg	土止
声	bh	士尸丨
坏	bi	土不
去	bj	土厶
吉	bk	士口
追	bl	辶
胃	bm	田月
坦	bn	土旦
男	bo	田力
填	bp	土十八
塔	br	土艹亼口
士	bs	士
土	bt	土
累	bu	田糸
款	bv	士示欠
垣	bw	土二日
坪	bx	土干丷
由	by	由
城	bz	土戊乙
购	ca	贝勹厶
油	cb	氵由
测	cc	氵贝刂
河	cd	氵丁口
溪	ce	氵爫幺大
汉	cf	氵又
流	cg	氵
派	ch	氵⺁
沙	ci	氵少
卖	cj	头
激	ck	氵白方攵
进	cl	井辶
湖	cm	氵古月
汽	cn	氵气
江	co	氵工
汁	cp	氵十
渔	cq	氵鱼
满	cr	氵艹两
水	cs	水
海	ct	氵母
波	cu	氵皮
浪	cv	氵丶彐
洋	cw	氵羊
汗	cx	氵干
滚	cy	氵衣八厶
则	cz	贝刂
换	da	扌⺈冂大
持	db	扌土寸
顶	dc	丁页
打	dd	扌丁
推	de	扌隹
拉	dg	扌立
扩	dh	扌广
挖	di	扌穴乙
即	dj	彐卩
可	dk	丁口
过	dl	寸辶
才	dm	丿
担	dn	扌旦
热	do	扌九丶灬
搞	dp	扌高
捷	dq	扌一彐龰
搭	dr	扌艹亼口
手	ds	手
播	dt	扌禾丷田
指	du	扌匕日
灵	dv	彐火
把	dw	扌巴
折	dx	扌斤
于	dy	于
找	dz	扌戈
妥	ea	爫女
奋	eb	大田
贵	ec	贝
夺	ed	大寸
奏	ee	天
非	ef	非
辈	eg	非车
孚	eh	爫子
岛	ei	山
令	ej	亽龴
合	ek	亼口
达	el	大辶
帮	em	三丿阝巾
鸟	en	鸟
今	eo	亽乙
蛇	ep	虫宀匕
韭	eq	非一
爽	er	大乂乂乂
三	es	三
天	et	天
爱	eu	爫冖又
太	ev	大丶
乌	ew	乌
集	ex	隹木
裴	ey	非衣
爪	ez	爪
欢	fa	又欠
备	fb	夂田
硕	fc	石页
对	fd	又寸
难	fe	又隹
双	ff	又又
硫	fg	石
矿	fh	石广
环	fi	王不
面	fj	丆囬
右	fk	口
存	fl	丨子
有	fm	月
百	fn	丆日
左	fo	工
碗	fp	石宀夕㔾
硬	fq	石一日乂
弄	fr	王廾
石	fs	石
现	fu	王冂儿
处	fv	夂卜
王	fw	王
条	fx	夂朩
又	fy	又
戏	fz	又戈
软	ga	车欠
辅	gb	车甫
车	gc	车
很	gd	彳彐
踩	ge	爫木
路	gf	夂口
行	gg	彳亍
充	gh	儿
步	gi	止
起	gj	走己
部	gk	立口阝
连	gl	车辶
产	gm	立丿
音	gn	立日
盘	go	舟皿
德	gp	彳十罒心
亲	gq	亲
赵	gr	走乂
轮	gs	车人匕
御	gt	彳一卩
此	gu	止匕
往	gv	彳丶王
辆	gw	车两
新	gx	亲斤
旁	gy	方
走	gz	走
孢	ha	子勹巳
庄	hb	广土
厂	hc	厂
厅	hd	厂丁
儿	he	儿
反	hf	⺁又
广	hg	广
孝	hh	耂子
应	hi	广
爷	hj	父卩
原	hk	厂白小
辽	hl	了辶
居	hm	尸古
都	hn	耂日阝
孔	ho	子乙
盾	hp	⺁十目
度	hr	广廿又
生	hs	生
疾	ht	疒矢
老	hu	耂匕
尽	hv	尸丶⺀
无	hw	无
床	hx	广木
底	hy	广氏丶
子	hz	子
欲	ia	谷欠
八	ib	八
州	ic	⺍川
当	id	彐
尖	ie	小大
随	if	阝月辶
谷	ig	谷
光	ih	⺎
举	ii	八二丨
公	ij	八厶
否	ik	不口
还	il	不辶
阴	im	阝月
阳	in	阝日
空	io	穴工
院	ip	阝宀二儿
前	iq	丷一月刂
并	ir	丷开
少	is	少
医	it	匚矢
学	iu	⺍冖子
际	iv	阝示
半	iw	丷二丨
小	ix	小
常	iy	尚巾
分	iz	八刀
情	ja	忄龶月
必	jb	必
臣	jc	臣
导	jd	巳寸
雅	je	牙隹
改	jf	己攵
骨	jg	骨
性	jh	忄生
快	ji	忄人
己	jj	己
怕	jk	忄白
道	jl	首辶
目	jm	目
慢	jn	忄日罒又
通	jo	龴用辶
惊	jp	忄小
卫	jq	卩一
异	jr	巳廾
身	js	身
头	jt	头
死	ju	歹匕
卧	jv	臣卜
离	jw	㐫禸
心	jx	心
已	jy	已
自	jz	自
吹	ka	口欠
吐	kb	口土
员	kc	口贝
啦	kd	口扌立
因	ke	囗大
国	kf	囗王丶
嘴	kg	口止匕用
回	kh	回
只	ki	口八
呀	kj	口牙
口	kk	口
吸	kl	口乃丶
固	km	囗古
喝	kn	口日勹乙
另	ko	口力
品	kp	品
求	kq	求
吨	kr	口屯
事	ks	事
吃	kt	口乙
叫	ku	口丩
吓	kv	口下
吗	kw	口马
听	kx	口斤
吻	ky	口勿
哪	kz	口阝
请	la	讠龶月
诗	lb	讠土寸
讲	lc	讠井
订	ld	讠丁
谁	le	讠隹
变	lf	亦又
该	lg	讠亥
乎	lh	乎
说	li	讠丷口儿
记	lj	讠己
识	lk	讠口八
话	ll	讠舌
诞	lm	讠丿廴
旧	ln	丨日
乱	lo	舌乙
计	lp	讠十
千	lq	千
诺	lr	讠艹口
认	ls	讠人
语	lt	讠五口
调	lu	讠⺆土口
让	lv	讠上
万	lw	万
某	lx	甘木
言	ly	言
之	lz	之
脆	ma	月⺈厂㔾
肚	mb	月土
肼	mc	月井
腿	md	月彐辶
失	me	丿夫
故	mf	古攵
古	mg	古
克	mh	古儿
脱	mi	月丷口儿
么	mj	丿厶
名	mk	夕口
乏	ml	丿之
多	mm	夕夕
胆	mn	月旦
血	mo	丿皿
腕	mp	月宀夕㔾
长	mq	丿一乙丶
肉	mr	肉
腹	mt	月日夂
腻	mu	月弋二贝
入	mv	丿丶
然	mw	犬灬
朱	mx	丿未
月	my	月
刖	mz	月刂
次	na	冫欠
里	nb	日土
冰	nc	冫水
时	nd	日寸
准	ne	冫隹
旺	nf	日王
题	ng	旦龰页
星	nh	日生
决	ni	冫人
最	nj	日耳又
况	nk	冫口儿
运	nl	云辶
明	nm	日月
昌	nn	日日
动	no	云力
影	np	日小彡
气	nq	气
日	nr	日
申	ns	申
需	nt	⻗而
映	nu	日冂大
冲	nv	冫中
晚	nw	日免
果	nx	日木
云	ny	云
早	nz	早
数	oa	米女攵
基	ob	其土
项	oc	工页
豆	od	豆
类	oe	米大
攻	of	工攵
工	og	工
饭	oh	饣⺁又
办	oi	力八
九	oj	九
加	ok	力口
力	ol	力
期	om	其月
农	on	农
功	oo	工力
馆	op	饣宀㠯
其	oq	其
风	or	几乂
食	os	食
粗	ot	米且
彭	ou	壴彡
凡	ov	几丶
瓦	ow	瓦
斯	ox	其斤
用	oy	用
饶	oz	饣⺎
安	pa	宀女
官	pb	宀㠯
阔	pc	门氵舌
守	pd	宀寸
害	pe	宀三丨口
支	pf	十又
高	pg	高
字	ph	宀子
京	pi	小
实	pj	宀头
问	pk	门口
门	pm	门
间	pn	门日
协	po	十力八
定	pq	宀一龰
赛	pr	宀八贝
十	ps	十
直	pt	十
南	pu	十冂丷干
宗	pv	宀示
家	pw	宀豕
所	px	戶斤
房	py	户方
戴	pz	十戈田八
画	qb	一田凵
卅	qc	廾丨
正	qg	一止
到	qj	一厶土刂
副	qk	一口田刂
更	qn	一日乂
鳞	qo	鱼米夕㐄
鲸	qp	鱼小
再	qu	一冂土
灭	qv	一火
鲜	qw	鱼羊
鱼	qy	鱼
警	ra	艹句攵言
苗	rb	艹田
顿	rc	屯页
萧	rd	艹彐小
菜	re	艹爫木
若	rf	艹口
荒	rg	艹亡
著	rh	艹耂日
凶	ri	乂凵
节	rj	艹卩
开	rk	开
带	rl	艹丨冖巾
严	rm	亚丿
草	rn	艹早
世	ro	廿乙
芦	rp	艹户
艾	rr	艹乂
四	rs	四
莉	rt	艹禾刂
英	ru	艹冂大
蒜	rv	艹示示
获	rw	艹犭犬
杀	rx	乂朩
业	ry	业
茅	rz	艹矛
你	sa	亻⺈小
仕	sb	亻士
侧	sc	亻贝刂
付	sd	亻寸
偷	se	亻亼月刂
全	sf	人王
位	sg	亻立
优	sh	亻尢丶
假	si	亻丨又
例	sj	亻歹刂
后	sk	𠂋
他	sl	亻也
民	sm	民
会	sn	人云
亿	so	亻乙
们	sp	亻门
便	sq	亻一日乂
人	sr	人
从	ss	人人
作	st	亻丨二
化	su	亻
住	sv	亻丶王
件	sw	亻牛
体	sx	亻本
低	sy	亻氏丶
伐	sz	亻戈
每	ta	母
等	tb	土寸
簿	tc	氵甫寸
耐	td	而寸
而	te	而
磨	tf	麻石
年	tg	ヰ
季	th	禾子
秒	ti	禾少
县	tj	且厶
知	tk	矢口
秀	tl	禾乃
笑	tm	丿大
香	tn	禾日
短	to	矢豆
管	tp	宀㠯
且	tq	且
舞	tr	龷㐄
书	ts	书
租	tt	禾且
笔	tu	毛
种	tv	禾中
五	tw	五
乘	tx	禾丬匕
笏	ty	勿
第	tz	弓丨丿
约	ua	纟勹丶
周	ub	⺆土口
经	uc	纟ス工
绿	ud	纟彐氺
维	ue	纟隹
发	uf	发
军	ug	冖车
见	uh	冂儿
东	ui	小
惠	uj	心
织	uk	纟口八
级	ul	纟乃丶
毛	um	毛
旨	un	匕日
红	uo	纟工
皮	up	皮
七	uq	七
纯	ur	纟屯
内	us	冂人
组	ut	纟且
比	uu	匕匕
留	uv	丶刀田
写	uw	冖二乙
乡	ux	乡
纸	uy	纟氏
切	uz	七刀
炮	va	火勹巳
社	vb	礻土
烦	vc	火页
灯	vd	火丁
烛	ve	火虫
主	vf	丶王
祉	vg	礻止
火	vh	火
炒	vi	火少
忠	vj	中心
占	vk	⺊口
煤	vl	火甘木
餐	vm	⺊夕又食
神	vn	礻申
为	vo	丶丶
炉	vp	火户
福	vq	礻一口田
义	vr	丶乂
示	vs	示
祖	vt	礻且
视	vu	礻冂儿
卡	vv	上卜
祥	vw	礻羊
下	vx	下
炫	vy	火亠幺
中	vz	中
狗	wa	犭句
特	wb	牜土寸
驯	wc	马川
虐	wd	虍
二	we	二
狂	wf	犭王
骇	wg	马亥
元	wh	二儿
击	wi	二山
犯	wj	犭㔾
告	wk	⺧口
两	wl	两
马	wm	马
牛	wn	牛
与	wo	二乙
驴	wp	马户
犬	wq	犬
虚	wr	虍业
鼠	ws	鼠
兔	wt	兔
制	wu	牛冂刂
养	wv	丶
骥	wx	马丬匕八
物	wy	牜勿
骁	wz	马⺎
欣	xa	斤欠
本	xb	本
耕	xc	耒井
村	xd	木寸
棒	xe	木二丨
权	xf	木又
干	xg	干
版	xh	片⺁又
平	xi	干丷
相	xj	木目
整	xk	木口攵止
近	xl	斤辶
木	xm	木
查	xn	木旦
机	xo	木几
片	xp	片
梗	xq	木一日乂
模	xr	木艹日大
枪	xs	木人㔾
梅	xt	木母
北	xu	丬匕
标	xv	木示
样	xw	木羊
林	xx	木木
校	xy	木六乂
刊	xz	干刂
要	ya	覀女
亩	yb	亠田
贾	yc	覀贝
衬	yd	衤寸
帷	ye	巾隹
方	yf	方
覆	yg	覀彳夂
裤	yh	衤广车
商	yi	亠丷冂口
忽	yj	勿心
帕	yk	巾白
六	yl	六
帐	ym	巾丿一丶
帽	yn	巾曰目
帆	yo	巾几丶
酉	yq	西一
文	yr	亠乂
夜	ys	亠亻夂丶
族	yt	方矢
被	yu	衤皮
补	yv	衤卜
勿	yw	勿
西	yx	西
市	yy	亠巾
初	yz	衤刀
威	za	戌女
铺	zb	钅甫
预	zc	予页
刀	zd	刀
锥	ze	钅隹
锋	zf	钅夂三丨
戈	zg	戈
尧	zh	⺎
费	zi	弓贝
金	zj	金
或	zk	戈口一
引	zl	弓丨
张	zm	弓丿一丶
弱	zn	弓冫弓冫
成	zo	戊乙
针	zp	钅十
错	zr	钅龷日
锈	zt	钅禾乃
钢	zu	钅冂乂
钟	zv	钅中
戊	zw	戊
柔	zx	矛木
予	zy	予
钱	zz	钅戋
姆	aam	女母
毒	aad	龶母
熬	aafv	龶勹攵灬
婧	aamj	女龶月
敖	aaf	龶勹攵
婊	aay	女龶
鳌	aafq	龶勹攵鱼
赘	aafc	龶勹攵贝
螯	aafe	龶勹攵虫
獒	aafw	龶勹攵犬
骜	aafw	龶勹攵马
遨	aafl	龶勹攵辶
鏊	aafz	龶勹攵金
纛	aat	龶母系
妁	aav	女勹丶
聱	aafj	龶勹攵耳
娃	abb	女土土
甸	abd	勹田
嫂	abl	女臼丨又
娉	abq	女由一乙
匍	abp	勹甫
嫘	abu	女田糸
嫱	abi	女土丷回
妯	abz	女由
勹	aba	勹
负	acf	⺈贝
责	acz	龶贝
急	adj	⺈彐心
争	adl	⺈彐丨
邹	adi	⺈彐阝
皱	adu	⺈彐皮
煞	adf	⺈彐攵灬
雏	ade	⺈彐隹
刍	adc	⺈彐
媛	aew	女爫二夂
姨	aez	女大弓
鸲	aeq	句鸟
