字符,拆分,拆分臺灣,拆分兼一,拆分兼二,拆分兼三,拆分兼四
⺀,⺀,,,,,
⺁,⺁,,,,,
⺄,⺄,,,,,
⺆,⺆,,,,,
⺇,⺇,,,,,
⺈,⺈,,,,,
⺊,⺊,,,,,
⺋,㔾,,,,,
⺌,⺌,,,,,
⺍,⺍,,,,,
⺑,八几,,,,,
⺕,⺕,,,,,
⺗,小丶,,,,,
⺜,冂二,,,,,
⺝,⺝,,,,,
⺤,⺤,,,,,
⺥,⺥,,,,,
⺧,⺧,,,,,
⺩,⺩,,,,,
⺪,㇇止,,,,,
⺬,⺬,,,,,
⺮,⺮,,,,,
⺲,〈柬中〉,,,,,
⺳,冖儿,,,,,
⺴,冖儿,,,,,
⺵,冂〢,,,,,
⺶,⺶,,,,,
⺷,⺷,,,,,
⺸,卝干,,,,,
⺻,⺕丄,,,,,
⺼,⺼,,,,,
⺽,⺽,,,,,
⺾,⺾,,,,,
⺿,⺿,,,,,
⻇,⺈冂人人,,,,,
⻊,⻊,,,,,
⻌,⻌,,,,,
⻍,⻌,,,,,
⻎,⻌,,,,,
⻏,⻏,,,,,
⻕,丿〈㠯〉,,,,,
⻖,⻏,,,,,
⻗,⻗,,,,,
⻞,亽〈⻞下〉,亼〈⻞下〉,,,,
⻡,巛丆目,,,,,
⼹,⼹,,,,,
〇,〇,,,,,
ぁ,一㇏α,,一女,〈民下〉α,,
あ,一㇏α,,一女,〈民下〉α,,
ぃ,㇂丶,,,,,
い,㇂丶,,,,,
ぅ,丶𠃌,,,,,
う,丶𠃌,,,,,
ぇ,丶乙,,,,,
え,丶乙,,,,,
ぉ,一α丶,,木丶,,,
お,一α丶,,木丶,,,
か,力丶,,,,,
が,力丶⺀,,,,,
き,キ㇂,,二乙,,,
ぎ,キ㇂⺀,,二乙⺀,,,
く,𡿨,,,,,
ぐ,𡿨⺀,,,,,
け,㇂𠂇,,,,,
げ,㇂𠂇⺀,,,,,
こ,乛㇂,,,,,
ご,乛㇂⺀,,,,,
さ,十㇂,,一乙,,,
ざ,十㇂⺀,,一乙⺀,,,
し,乚,,,,,
じ,乚⺀,,,,,
す,一α,,寸,,,
ず,一α⺀,,寸⺀,,,
せ,〈于下〉乚,,,,,
ぜ,〈于下〉乚⺀,,,,,
そ,𠄎,,,,,
ぞ,𠄎⺀,,,,,
た,𠂇乛㇂,,𠂇丶㇂,,,
だ,𠂇乛㇂⺀,,𠂇丶㇂⺀,,,
ち,一㇉,,ㄊ,,,
ぢ,一㇉⺀,,ㄊ⺀,,,
っ,𠃌,,,,,
つ,𠃌,,,,,
づ,𠃌⺀,,,,,
て,⺄,,,,,
で,⺄⺀,,,,,
と,丨匚,,,,,
ど,丨匚⺀,,,,,
な,𠂇𠄎,,𠂇丶α,𠂇子,,
に,㇂乛㇂,,㇂一㇂,,,
ぬ,㇏α,,,,,
ね,亅𠄎,,〈于下〉α,,,
の,α,,,,,
は,㇂一α,,㇂朩,,,
ば,㇂一α⺀,,㇂朩⺀,,,
ぱ,㇂一α〇,,㇂朩〇,,,
ひ,㇎,,凵,,,
び,㇎⺀,,凵⺀,,,
ぴ,㇎〇,,凵〇,,,
