八	ab
金	aj
釒	aj
人	ar
𠆢	ar
饣	as
Δ	av
〈齿下〉	av
亼	av
亽	av
龴	av
又	ay
白	bb
貝	bb
古	bg
目	bm
且	bq
舌	bs
〈㠯〉	bv
〈具上〉	bv
〈反㠯〉	bv
〈官下〉	bv
〈目〉	bv
㠯	bv
見	bx
頁	by
自	bz
臣	cc
巨	cj
氏	cs
氵	cs
〈乐上〉	cv
〈卬左〉	cv
〈反ユ〉	cv
〈反臣〉	cv
〈反𦣝〉	cv
〈留左上〉	cv
〈至上〉	cv
〈𦣝〉	cv
コ	cv
ミ	cv
ユ	cv
匚	cv
匸	cv
𧘇	cv
𦣝	cy
至	cz
毌	dg
母	dm
女	dn
攵	dp
日	dr
〈女下〉	dv
〈毌〉	dv
〈衰中〉	dv
夂	dv
夊	dv
〈毋〉	dw
毋	dw
夕	dx
〈炙上〉	dy
曰	dy
早	dz
長	ec
镸	ec
瓜	eg
⼹	ej
〈⼹〉	ej
巾	ej
馬	em
壬	er
𡈼	er
三	es
亖	es
〈⺕〉	ev
〈⺥〉	ev
〈⺽左〉	ev
〈㒫上〉	ev
〈印左〉	ev
〈瓜〉	ev
〈豸〉	ev
〈豸上〉	ev
〈镸上〉	ev
〈隹〉	ev
〈馬上〉	ev
ㅌ	ev
隹	ev
⺩	ew
王	ew
⺕	ex
习	ex
彐	ex
⺤	ez
⺥	ez
爪	ez
爫	ez
豸	ez
寸	fc
〈寿上〉	ff
〈邦左〉	ff
丰	ff
車	fj
甫	fp
千	fq
〈十〉	fs
十	fs
手	fs
扌	fs
龵	fs
〈于下〉	fv
〈叓上〉	fv
〈手〉	fv
〈段左〉	fv
〈甫〉	fv
〈革下〉	fv
〈龵下〉	fv
キ	fv
ㅋ	fv
𠂇	fv
韋	fw
中	fz
虫	gc
戈	gg
戋	gj
犭	gq
豕	gs
〈壴下〉	gv
〈尧上〉	gv
〈惠上〉	gv
〈戈〉	gv
〈民下〉	gv
〈犭〉	gv
〈羲中〉	gv
〈豕〉	gv
〈豕下〉	gv
〈贵上〉	gv
㦮	gv
我	gw
弋	gy
⻊	gz
足	gz
勹	hb
包	hb
⺾	hc
⺿	hc
サ	hc
廾	hc
艹	hc
匃	hg
角	hj
爿	hp
片	hp
卅	hs
⺈	hv
〈万下〉	hv
〈向框〉	hv
〈带上〉	hv
㇀	hv
一	hv
卄	hv
卌	hv
𠂊	hv
方	if
工	ig
立	il
〈变上〉	iv
〈立上〉	iv
〈黑上〉	iv
丨	iv
亅	iv
亠	iv
亡	iw
〈辛〉	ix
〈辣左〉	ix
辛	ix
永	iy
讠	iy
主	iz
疒	jb
厂	jc
辰	jc
广	jg
虍	jh
斤	jj
䜌	jl
鹿	jl
龻	jl
吂	jm
麻	jm
礻	js
⺁	jv
〈享上〉	jv
〈厂〉	jv
ㅎ	jv
丿	jv
文	jw
衤	jy
言	jy
訁	jy
长	kc
禾	kh
來	kl
木	km
朩	km
术	ks
〈⺮半〉	kv
〈余下〉	kv
〈木〉	kv
ㅈ	kv
ㅑ	kv
䒑	kv
丬	kv
Ｋ	kv
未	kw
⺮	kz
朮	kz
卜	lb
廴	lj
⺧	ln
牛	ln
牜	ln
气	lq
𠂉	lr
生	ls
ℓ	lv
⺊	lv
〈州中〉	lv
〈黽中〉	lv
り	lv
ㄣ	lv
ㅓ	lv
㇂	lv
㇉	lv
乚	lv
𠃊	lv
𠃋	lv
𠃑	lv
𠄌	lv
𡿨	lv
忄	lx
⻌	lz
之	lz
辶	lz
宀	mb
川	mc
彳	mc
〈弓〉	mg
弓	mg
灬	mh
〈转了〉	ml
了	ml
⺼	mr
冉	mr
∴	mv
⺍	mv
〈⺝〉	mv
〈〢〢〉	mv
〈亦下〉	mv
〈四点〉	mv
〈巛〉	mv
