字符,拆分
一,一
丁,一丨
丂,一乚
七,七
丄,丄
丅,丅
丆,丆
万,一〈万无横〉
丈,丈
三,三
上,上
下,下
丌,丌
不,丆丨丶
与,与
丏,丅乚乙
丐,丅一乚
丑,乙〈里无日〉
丒,刃一
专,二乚丶
且,〈见二〉三
丕,丆丨丶一
世,艹一乚
丗,一〈三竖〉一
丘,丘
丙,一内
业,〈业无横〉一
丛,人人一
东,东
丝,〈丝左角〉〈丝左角〉一
丞,乙丨〈水字框〉一
丟,王厶
丠,丨二匕一
両,一冂山
丢,丿土厶
丣,丌一乚〈叚右角〉
两,一冂人人
严,一〈业无横〉厂
並,丷一〈业无横〉一
丧,十丷一乚〈水字边〉
丨,丨
丩,丩
个,个
丫,丷丨
丬,冫丨
中,口丨
丮,乙〈举字底〉
丯,彡丨
丰,三丨
丱,乙〈乔字底〉丨一
串,口口丨
丳,口口〈乔字底〉
临,〈临字旁〉〈临右角〉〈临下角〉
丵,〈业无横〉一丷干
丶,丶
丷,丷
丸,丸
丹,〈周字框〉亠
为,〈刀中〉乙丶
主,亠土
丼,二〈乔字底〉丶
丽,一冂丶冂丶
举,〈学字头〉一八〈举字底〉
丿,丿
乀,丶
乁,丶
乂,乂
乃,乃
乄,乙丶
久,久
乆,乚人
乇,丿七
么,么
义,丶乂
乊,丿丷
之,丶乙丶
乌,乌
乍,〈卧人〉丨二
乎,丿丷〈于无横〉
乏,丿丶乙丶
乐,〈乐二〉小
乑,乑
乒,丘丿
乓,丘丶
乔,夭〈乔字底〉
乕,〈反字框〉二巾
乖,丿十丨二匕
乗,〈千二〉龷〈木无横〉
乘,丿十丨二匕〈全字头〉
乙,乙
乚,乚
乛,乙
乜,乙乚
九,丿乙
乞,〈卧人〉乙
也,〈韦无二〉乚
习,习
乡,〈丝左角〉丿
乢,山乚
乣,幺乚
乤,下乙
乥,丿丷乙
书,乙〈韦无二〉丶
乧,〈冬字底〉十乙
乨,厶口乚
乩,〈卢字头〉口乚
乪,乙田
乫,乙丿口乙
乬,一〈叚右角〉乚乙
乭,丆口乙
乮,〈卬字旁〉丿卩乙
乯,丿丷〈于无横〉乙
买,乙〈冬字底〉大
乱,丿十口乚
乲,冫欠乙
乳,爫乙〈子字底〉乚
乴,扌〈反字框〉丅乙
乵,辛乚
乶,一〈青字底〉丨丶乙
乷,氵〈少三〉丿乙
乸,〈韦无二〉乚乚乙亠丶
乹,十早乚
乺,〈反字框〉〈叚右角〉〈反字框〉丅乙
乻,方〈全字头〉〈冬字底〉乙
乼,氵亠土乙
乽,十〈左字框〉日乙
乾,十早〈卧人〉乙
乿,爫幺小乚
亀,〈负字头〉日日乚
亁,十日干〈卧人〉乙
亂,爫乙丶冂厶又乚
亃,丷木〈久二〉丶〈牙二〉丨乚
亄,士冖一口丷一乚
亅,丨
了,乙丨
亇,〈负字头〉丨
予,乙丶乙丨
争,〈负字头〉〈聿三〉丨
亊,一丷〈聿三〉丨
事,一口〈聿三〉丨
二,二
亍,二丨
于,一〈于无横〉
亏,二乚
亐,二乚
云,二厶
互,一乚乙一
亓,一丌
五,丅乙一
井,二〈乔字底〉
亖,二二
亗,山二
亘,一日一
亙,丅乙氵
亚,一〈业无横〉一
些,止匕二
亜,一口〈临字旁〉一
亝,厶厶厶二
亞,一〈亞无二〉一
亟,乙丨口又一
亠,亠
亡,亠乚
亢,亠几
亣,丶丌
交,六乂
亥,亠〈亥无亠无人〉人
亦,亠〈亦字底〉
产,〈立无横〉厂
亨,〈享字头〉乙丨
亩,亠田
亪,亠〈亦字底〉丶
享,〈享字头〉乙〈子字底〉
京,京
亭,〈享字头〉冖一丨
亮,〈享字头〉冖几
亯,〈享字头〉日
亰,亠日小
亱,亠亻日一
亲,〈立无横〉一朩
亳,〈享字头〉冖丿七
亴,〈享字头〉冖土丿乙
亵,亠扌丸丿乚〈水字边〉
亶,亠回日一
亷,〈立无横〉厂〈聿三〉〈兼无䒑无彐〉
亸,〈享字头〉乙〈子字底〉丷日十
亹,亠〈盥左角〉同〈盥右角〉冖〈见二〉三
人,人
亻,亻
亼,亼
亽,亽
亾,人乚
亿,亻乙
什,亻十
仁,亻二
仂,亻乙丿
仃,亻一丨
仄,厂人
仅,亻又
仆,亻丨丶
仇,亻丿乙
仈,亻八
仉,亻几
今,亽乙
介,〈全字头〉〈乔字底〉
仌,人人
仍,亻乃
从,人人
仏,亻厶
仐,〈全字头〉十
仑,仑
仒,〈全字头〉〈冬字底〉
仓,〈全字头〉乙乚
仔,亻乙〈子字底〉
仕,亻士
他,亻〈韦无二〉乚
仗,亻丈
付,亻寸
仙,亻山
仚,〈全字头〉山
仛,亻丿七
仜,亻丅一
仝,〈全字头〉丅一
仞,亻刃
仟,亻丿十
仠,亻干
仡,亻〈卧人〉乙
仢,亻勺
代,亻一乚丶
令,亽乙丶
以,乚丶人
仦,亻小
仧,上〈全字头〉
仨,亻三
仩,亻上
仪,亻丶乂
仫,亻么
们,亻丶〈门无丶〉
仭,亻刀丶
仮,亻反
仯,亻〈少三〉丿
仰,亻卬
仱,亻亽乙
仲,亻口丨
仳,亻〈比字旁〉匕
仴,亻月
仵,亻〈卧人〉十
件,亻丿〈举字底〉
价,亻〈全字头〉〈乔字底〉
仸,亻夭
仹,亻三丨
仺,〈全字头〉一乚一
任,亻丿士
仼,亻王
份,亻八刀
仾,亻一乚乙一
仿,亻方
伀,亻八厶
企,〈全字头〉止
