本	b.
疒	b/
八	ba
〈卑六〉	be
卑	be
〈化字边〉	bi
〈比字旁〉	bi
〈龍字边〉	bi
〈龙下角〉	bi
㡀	bi
匕	bi
必	bi
冖	bo
宀	bo
欠	bo
〈戌三〉	c,
厂	c,
寸	c.
川	c;
〈矛无龴〉	ci
才	ci
斥	ci
〈亞无二〉	co
〈冊字心〉	co
〈犭无丿〉	co
〈虛字底无一〉	co
〈豕省〉	co
〈豸字底〉	co
乑	co
刀	co
卝	co
艹	co
〈齿字底〉	cu
出	cu
〈东二〉	d/
东	d/
〈水字边〉	d;
〈节字底〉	d;
〈韦无二〉	d;
〈飞无折〉	d;
冫	d;
卩	d;
大	da
〈豕二〉	di
丆	di
歹	di
〈刀中〉	do
〈师字旁〉	do
丷	do
刂	do
彳	do
方	f,
凡	f;
反	f;
非	fe
口	fo
夫	fu
广	g,
艮	g.
〈叚右角〉	g/
共	g/
弓	g/
龷	g/
〈无三〉	g;
干	g;
〈反字框〉	ga
瓜	ga
个	ge
革	ge
丶	gi
尸	go
〈骨字头〉	gu
冎	gu
谷	gu
〈荒字底〉	h,
〈寒字腰〉	h;
〈耳无一〉	h;
〈山一〉	ha
山	ha
丿	he
回	he
〈业无横〉	ho
〈亦字底〉	ho
〈兼无䒑无彐〉	ho
〈变字头无亠〉	ho
火	ho
〈卢字头〉	hu
〈芈二〉	hu
虍	hu
亼	j.
金	j.
京	j/
见	j;
〈盥右角〉	ja
〈盥左角〉	ja
〈礻三〉	ja
久	ja
甲	ja
臼	ja
讠	ja
乚	je
〈即字旁〉	ji
己	ji
〈万无横〉	jo
〈久二〉	jo
〈別字旁底〉	jo
〈负字头〉	jo
〈鱼省〉	jo
角	jo
句	ju
卡	ka
氵	ka
一	ke
开	ki
仑	l.
另	l/
〈乐二〉	la
〈卬字旁〉	la
〈留字头〉	la
〈立无横〉	la
六	la
心	la
乙	le
亻	li
鬲	li
老	lo
〈鹿字框〉	lu
〈鹿旁〉	lu
鹿	lu
〈奐字腰〉	m.
〈曾字头无丷〉	m.
〈黑五〉	m.
皿	m.
免	m;
〈延字心无撇〉	ma
〈馬字框〉	ma
〈马二〉	ma
止	ma
马	ma
〈巴三〉	me
〈眉字框〉	me
丨	me
么	me
麦	mi
末	mo
目	mu
罒	mu
〈囊字头〉	n,
丌	n/
廾	n/
年	n;
〈举字底〉	na
〈于无横〉	na
〈夫三〉	na
〈子字底〉	na
〈牜无丿〉	na
手	na
扌	na
龵	na
〈周字框〉	ne
〈禺字底〉	ne
〈见二〉	ne
〈门无丶〉	ne
冂	ne
内	ne
凵	ne
禸	ne
〈及二〉	ni
乃	ni
屰	ni
〈鳥省〉	no
〈鸟省〉	no
鸟	no
〈㳈字边〉	pa
〈木无横〉	pa
木	pa
朩	pa
〈虍无七〉	pi
皮	pi
攴	pu
〈青字底〉	q/
〈左字框〉	q;
〈毋无框〉	q;
全	q;
犬	q;
〈段二〉	qa
丘	qa
〈戈无一〉	qi
〈戈无亠〉	qi
〈曳字底〉	qi
〈牙二〉	qi
七	qi
气	qi
钅	qi
〈乔字底〉	qo
〈鬯四点〉	qo
灬	qo
曲	qu
〈全字头〉	r.
人	r.
亽	r.
刃	r.
肉	ra
〈临下角〉	ri
〈衰字腰〉	ri
日	ri
巾	ro
〈学字头〉	s,
〈学无子〉	s,
〈尚字头〉	s,
丄	s,
上	s,
龸	s,
申	s.
〈三竖〉	s;
〈四横〉	s;
〈四竖〉	s;
〈横三点〉	s;
三	s;
巛	s;
彡	s;
〈毌无框〉	si
〈民字框〉	si
〈水字框〉	si
〈率字腰〉	si
十	si
巳	si
〈犭二〉	so
儿	so
勹	so
勺	so
丩	su
忄	su
殳	su
同	t/
田	t;
它	ta
〈风省〉	to
几	to
条	to
〈里无日〉	tu
兔	tu
土	tu
卬	v,
〈丝左角〉	vi
〈临字旁〉	vi
〈冬字底〉	vi
〈横两撇〉	vi
〈横两点〉	vi
〈辟字旁〉	vi
〈門字旁〉	vi
〈門字边〉	vi
㠯	vi
二	vi
巜	vi
阝	vi
〈敖字旁〉	vo
〈经右角〉	vo
又	vo
龶	vo
王	w,
〈夜下角〉	w.
夂	w.
攵	w.
丸	w;
瓦	wa
未	we
〈享字头〉	wo
〈隹字边〉	wo
亠	wo
吂	wo
言	wo
〈烏省〉	wu
乌	wu
无	wu
向	x,
象	x,
〈辛旁〉	x.
辛	x.
兄	x/
丅	xa
下	xa
〈印字旁〉	xe
〈聿三〉	xe
〈虐字底〉	xe
〈镸无厶〉	xe
〈黽左角〉	xe
彐	xe
〈西无一〉	xi
〈覀无一〉	xi
习	xi
西	xi
覀	xi
〈少三〉	xo
女	xo
小	xo
〈臦字旁〉	ya
由	ya
臣	ya
〈䏓字旁〉	ye
〈舟无撇〉	ye
曰	ye
月	ye
乂	yi
已	yi
〈亥无亠无人〉	yo
〈千二〉	yo
〈虫无口〉	yo
厶	yo
夭	yo
幺	yo
〈雨头〉	yu
〈鼠字底〉	yu
与	yu
雨	yu
丈	z,
镸	z,
长	z,
真	z.
只	zi
辶	zi
〈埓上角〉	zo
〈車无一〉	zo
士	zo
早	zo
爫	zo
〈临右角〉	zu
〈卧人〉	zu
〈定字底〉	zu
〈延字心〉	zu
〈朱三〉	zu
〈竹头〉	zu
朱	zu
龰	zu
