# 冰雪三拼 筆畫輔助碼 —— 字 ⇥ 前四筆
# 橫豎撇點折 ＝ v i u o a（一個方案一套，寫死在上游 lua/snow/shape_filter.lua 各自的分支裏）
# 由 stroke.dict.yaml 轉出（scripts/import_snow_sipin.py）
# 一個字可能有幾種筆順，用空格分開
# 上游 GPL-3.0，本表是其衍生物
〇	a
㐀	ivvi iviv
㐁	viau
㐂	vava
㐃	aoi
㐄	vai
㐅	uo
㐆	uuav
㐇	uaa
㐈	uoa
㐉	vaa via
㐊	viva
㐋	viva
㐌	uvai
㐍	uoou
㐎	ovuo
㐏	viav
㐐	auva
㐑	uaoo
㐒	auia
㐓	viav
㐔	ovia
㐕	iavi
㐖	vivi
㐗	vivu
㐘	ouvi
㐙	viav
㐚	viav
㐛	uivu
㐜	vaoo viov
㐝	vavu vivu
㐞	viiv
㐟	uvvv ivvv
㐠	uoou
㐡	uavu
㐢	ooou oovu
㐣	ovuv
㐤	uavi
㐥	uovv
㐦	viau uivv
㐧	aaou oaiu
㐨	aoaa aoai
㐩	vvui
㐪	vaiu ovai
㐫	ovuo
㐬	ovao
㐭	ovia
㐮	ovuo
㐯	ovia
㐰	uiia
㐱	uouu
㐲	uivu
㐳	uivu
㐴	uiua
㐵	uivv
㐶	uiav
㐷	uiaa
㐸	uiua
㐹	uiuv
㐺	uiui
㐻	uiia
㐼	uiuu uiuv
㐽	uiua
㐾	uivv
㐿	uiuv
㑀	uivu
㑁	uiia uiai
㑂	uivi
㑃	uiaa
㑄	uiaa
㑅	uiuv
㑆	uiia
㑇	uiua
㑈	uiva
㑉	uiua
㑊	uiov
㑋	uiia
㑌	uivv
㑍	uiuv uivv
㑎	uiaa
㑏	uioo
㑐	uiiv
㑑	uiui
㑒	uovi
㑓	uiao
㑔	uivu
㑕	uiia
㑖	uiui
㑗	uiui
㑘	uivv
㑙	uivi
㑚	uiav
㑛	uivi
㑜	uiva uivi
㑝	uivv
㑞	uiou
㑟	uiui
㑠	uiii
㑡	uiav
㑢	uivi
㑣	uivi
㑤	uiiv uivi
㑥	uiia
㑦	uiuu uioa
㑧	uiuv
㑨	uiia
㑩	uiia
㑪	uiov
㑫	uiuo
㑬	uiau
㑭	uiia
㑮	uioa
㑯	uivu
㑰	uiaa
㑱	uiao
㑲	uivi
㑳	uiua
㑴	uiav
㑵	uiov
㑶	uiuv
㑷	uiao
㑸	uivi
㑹	uovi
㑺	uiui
㑻	uioo
㑼	uiia
㑽	uiio
㑾	uiua
㑿	uiaa
㒀	uiov
㒁	uiia
㒂	uiiv uivi
㒃	uivv
㒄	uiua
㒅	uiov
㒆	uiuo
㒇	uiuv
㒈	uivi uiav
㒉	uiio
㒊	uiau
㒋	uivi
㒌	uiou
㒍	uiao
㒎	uivv
㒏	uioo
㒐	uiuv
㒑	uivo
㒒	uiii
㒓	uivi
㒔	uiia
㒕	uiov
㒖	uiiv uivi
㒗	uivi
㒘	uivi
㒙	uiaa
㒚	uiuo
㒛	uiao
㒜	uivi uiui
㒝	uiiv uivi
㒞	uiia
㒟	uiov
㒠	uiiv
㒡	uiua uiuo
㒢	uiuo
㒣	uiov
㒤	uivi
㒥	uiiv uivv
㒦	uiia
㒧	uiov
㒨	uiui
㒩	uiaa
㒪	uovi
㒫	vivv
㒬	vvua
㒭	iavu
㒮	vvua
㒯	iouv
㒰	uovi
㒱	uoua
㒲	uoia
㒳	iaiu
㒴	uoia uoai
㒵	uiav
㒶	uoui
㒷	iauo
