# 冰雪三拼 音節碼表 —— 帶調音節 ⇥ 碼串
# 由 snow_sanpin.schema.yaml 的 sanpin_algebra 機械生成（scripts/import_snow_sipin.py）
# 上游 GPL-3.0，本表是其衍生物
a1	xsv
a2	xsi
a3	xsu
a4	xso
a5	xsa
ai1	xhv
ai2	xhi
ai3	xhu
ai4	xho
an1	xfv
an2	xfi
an3	xfu
an4	xfo
ang1	xpv
ang2	xpi
ang3	xpu
ang4	xpo
ao1	xzv
ao2	xzi
ao3	xzu
ao4	xzo
ba1	bsv
ba2	bsi
ba3	bsu
ba4	bso
ba5	bsa
bai1	bhv
bai2	bhi
bai3	bhu
bai4	bho
ban1	bfv
ban2	bfi
ban3	bfu
ban4	bfo
bang1	bpv
bang2	bpi
bang3	bpu
bang4	bpo
bao1	bzv
bao2	bzi
bao3	bzu
bao4	bzo
bei1	bwv
bei2	bwi
bei3	bwu
bei4	bwo
bei5	bwa
ben1	bnv
ben2	bni
ben3	bnu
ben4	bno
beng1	brv
beng2	bri
beng3	bru
beng4	bro
bi1	bkv
bi2	bki
bi3	bku
bi4	bko
bian1	bmv
bian2	bmi
bian3	bmu
bian4	bmo
bian5	bma
biang1	bxv
biang2	bxi
biang3	bxu
biang4	bxo
biao1	bcv
biao2	bci
biao3	bcu
biao4	bco
bie1	bdv
bie2	bdi
bie3	bdu
bie4	bdo
bin1	bbv
bin2	bbi
bin3	bbu
bin4	bbo
bing1	bgv
bing2	bgi
bing3	bgu
bing4	bgo
bo1	blv
bo2	bli
bo3	blu
bo4	blo
bo5	bla
bou1	bdv
bou2	bdi
bou3	bdu
bou4	bdo
bu1	bjv
bu2	bji
bu3	bju
bu4	bjo
ca1	csv
ca2	csi
ca3	csu
ca4	cso
cai1	chv
cai2	chi
cai3	chu
cai4	cho
can1	cfv
can2	cfi
can3	cfu
can4	cfo
cang1	cpv
cang2	cpi
cang3	cpu
cang4	cpo
cao1	czv
cao2	czi
cao3	czu
cao4	czo
ce1	cev
ce2	cei
ce3	ceu
ce4	ceo
cei1	cwv
cei2	cwi
cei3	cwu
cei4	cwo
cen1	cnv
cen2	cni
cen3	cnu
cen4	cno
ceng1	crv
ceng2	cri
ceng3	cru
ceng4	cro
cha1	wsv
cha2	wsi
cha3	wsu
cha4	wso
chai1	jhv
chai2	jhi
chai3	jhu
chai4	jho
chan1	jfv
chan2	jfi
chan3	jfu
chan4	jfo
chang1	jpv
chang2	jpi
chang3	jpu
chang4	jpo
chao1	wzv
chao2	wzi
chao3	wzu
chao4	wzo
che1	wev
che2	wei
che3	weu
che4	weo
chei1	jwv
chei2	jwi
chei3	jwu
chei4	jwo
chen1	jnv
chen2	jni
chen3	jnu
chen4	jno
chen5	jna
cheng1	jrv
cheng2	jri
cheng3	jru
cheng4	jro
chi1	wkv
chi2	wki
chi3	wku
chi4	wko
chi5	wka
chong1	wyv
chong2	wyi
chong3	wyu
chong4	wyo
chou1	wdv
chou2	wdi
chou3	wdu
chou4	wdo
chu1	jjv
chu2	jji
chu3	jju
chu4	jjo
chu5	jja
chua1	wqv
chua2	wqi
chua3	wqu
chua4	wqo
chuai1	wgv
chuai2	wgi
chuai3	wgu
chuai4	wgo
chuan1	wtv
chuan2	wti
chuan3	wtu
chuan4	wto
chuang1	wxv
chuang2	wxi
chuang3	wxu
