# 冰雪四拼 筆畫輔助碼 —— 字 ⇥ 前四筆
# 橫豎撇點折 ＝ e i u o a（一個方案一套，寫死在上游 lua/snow/shape_filter.lua 各自的分支裏）
# 由 stroke.dict.yaml 轉出（scripts/import_snow_sipin.py）
# 一個字可能有幾種筆順，用空格分開
# 上游 GPL-3.0，本表是其衍生物
〇	a
㐀	ieei ieie
㐁	eiau
㐂	eaea
㐃	aoi
㐄	eai
㐅	uo
㐆	uuae
㐇	uaa
㐈	uoa
㐉	eaa eia
㐊	eiea
㐋	eiea
㐌	ueai
㐍	uoou
㐎	oeuo
㐏	eiae
㐐	auea
㐑	uaoo
㐒	auia
㐓	eiae
㐔	oeia
㐕	iaei
㐖	eiei
㐗	eieu
㐘	ouei
㐙	eiae
㐚	eiae
㐛	uieu
㐜	eaoo eioe
㐝	eaeu eieu
㐞	eiie
㐟	ueee ieee
㐠	uoou
㐡	uaeu
㐢	ooou ooeu
㐣	oeue
㐤	uaei
㐥	uoee
㐦	eiau uiee
㐧	aaou oaiu
㐨	aoaa aoai
㐩	eeui
㐪	eaiu oeai
㐫	oeuo
㐬	oeao
㐭	oeia
㐮	oeuo
㐯	oeia
㐰	uiia
㐱	uouu
㐲	uieu
㐳	uieu
㐴	uiua
㐵	uiee
㐶	uiae
㐷	uiaa
㐸	uiua
㐹	uiue
㐺	uiui
㐻	uiia
㐼	uiuu uiue
㐽	uiua
㐾	uiee
㐿	uiue
㑀	uieu
㑁	uiia uiai
㑂	uiei
㑃	uiaa
㑄	uiaa
㑅	uiue
㑆	uiia
㑇	uiua
㑈	uiea
㑉	uiua
㑊	uioe
㑋	uiia
㑌	uiee
㑍	uiue uiee
㑎	uiaa
㑏	uioo
㑐	uiie
㑑	uiui
㑒	uoei
㑓	uiao
㑔	uieu
㑕	uiia
㑖	uiui
㑗	uiui
㑘	uiee
㑙	uiei
㑚	uiae
㑛	uiei
㑜	uiea uiei
㑝	uiee
㑞	uiou
㑟	uiui
㑠	uiii
㑡	uiae
㑢	uiei
㑣	uiei
㑤	uiie uiei
㑥	uiia
㑦	uiuu uioa
㑧	uiue
㑨	uiia
㑩	uiia
㑪	uioe
㑫	uiuo
㑬	uiau
㑭	uiia
㑮	uioa
㑯	uieu
㑰	uiaa
㑱	uiao
㑲	uiei
㑳	uiua
㑴	uiae
㑵	uioe
㑶	uiue
㑷	uiao
㑸	uiei
㑹	uoei
㑺	uiui
㑻	uioo
㑼	uiia
㑽	uiio
㑾	uiua
㑿	uiaa
㒀	uioe
㒁	uiia
㒂	uiie uiei
㒃	uiee
㒄	uiua
㒅	uioe
㒆	uiuo
㒇	uiue
㒈	uiei uiae
㒉	uiio
㒊	uiau
㒋	uiei
㒌	uiou
㒍	uiao
