# 冰雪四拼 音節碼表 —— 帶調音節 ⇥ 碼串
# 由 snow_sipin.schema.yaml 的 sipin_algebra 機械生成（scripts/import_snow_sipin.py）
# 上游 GPL-3.0，本表是其衍生物
a1	rai
a2	rae
a3	rau
a4	raa
a5	rao
ai1	raii
ai2	raie
ai3	raiu
ai4	raia
an1	raoi
an2	raoe
an3	raou
an4	raoa
ang1	raei
ang2	raee
ang3	raeu
ang4	raea
ao1	raui
ao2	raue
ao3	rauu
ao4	raua
ba1	bai
ba2	bae
ba3	bau
ba4	baa
ba5	bao
bai1	baii
bai2	baie
bai3	baiu
bai4	baia
ban1	baoi
ban2	baoe
ban3	baou
ban4	baoa
bang1	baei
bang2	baee
bang3	baeu
bang4	baea
bao1	baui
bao2	baue
bao3	bauu
bao4	baua
bei1	beii
bei2	beie
bei3	beiu
bei4	beia
bei5	beio
ben1	beoi
ben2	beoe
ben3	beou
ben4	beoa
beng1	beei
beng2	beee
beng3	beeu
beng4	beea
bi1	bii
bi2	bie
bi3	biu
bi4	bia
bian1	buoi
bian2	buoe
bian3	buou
bian4	buoa
bian5	buoo
biang1	buei
biang2	buee
biang3	bueu
biang4	buea
biao1	buui
biao2	buue
biao3	buuu
biao4	buua
bie1	bei
bie2	bee
bie3	beu
bie4	bea
bin1	bioi
bin2	bioe
bin3	biou
bin4	bioa
bing1	biei
bing2	biee
bing3	bieu
bing4	biea
bo1	boi
bo2	boe
bo3	bou
bo4	boa
bo5	boo
bou1	boui
bou2	boue
bou3	bouu
bou4	boua
bu1	bui
bu2	bue
bu3	buu
bu4	bua
ca1	cai
ca2	cae
ca3	cau
ca4	caa
cai1	caii
cai2	caie
cai3	caiu
cai4	caia
can1	caoi
can2	caoe
can3	caou
can4	caoa
cang1	caei
cang2	caee
cang3	caeu
cang4	caea
cao1	caui
cao2	caue
cao3	cauu
cao4	caua
ce1	cei
ce2	cee
ce3	ceu
ce4	cea
cei1	ceii
cei2	ceie
cei3	ceiu
cei4	ceia
cen1	ceoi
cen2	ceoe
cen3	ceou
cen4	ceoa
ceng1	ceei
ceng2	ceee
ceng3	ceeu
ceng4	ceea
cha1	yai
cha2	yae
cha3	yau
cha4	yaa
chai1	yaii
chai2	yaie
chai3	yaiu
chai4	yaia
chan1	yaoi
chan2	yaoe
chan3	yaou
chan4	yaoa
chang1	yaei
chang2	yaee
chang3	yaeu
chang4	yaea
chao1	yaui
chao2	yaue
chao3	yauu
chao4	yaua
che1	yei
che2	yee
che3	yeu
che4	yea
chei1	yeii
chei2	yeie
chei3	yeiu
chei4	yeia
chen1	yeoi
chen2	yeoe
chen3	yeou
chen4	yeoa
chen5	yeoo
cheng1	yeei
cheng2	yeee
cheng3	yeeu
cheng4	yeea
chi1	yii
chi2	yie
chi3	yiu
chi4	yia
chi5	yio
chong1	yoei
chong2	yoee
chong3	yoeu
chong4	yoea
chou1	youi
chou2	youe
chou3	youu
chou4	youa
chu1	yui
chu2	yue
chu3	yuu
chu4	yua
chu5	yuo
chua1	yii
chua2	yie
chua3	yiu
chua4	yia
chuai1	yiii
chuai2	yiie
chuai3	yiiu
chuai4	yiia
chuan1	yioi
chuan2	yioe
chuan3	yiou
chuan4	yioa
chuang1	yiei
chuang2	yiee
chuang3	yieu
chuang4	yiea
chui1	yuii
chui2	yuie
chui3	yuiu
chui4	yuia
chun1	yuoi
chun2	yuoe
chun3	yuou
chun4	yuoa
chuo1	yoi
chuo2	yoe
chuo3	you
chuo4	yoa
ci1	cii
ci2	cie
ci3	ciu
ci4	cia
cong1	coei
cong2	coee
cong3	coeu
cong4	coea
cou1	coui
cou2	coue
cou3	couu
cou4	coua
cu1	cui
cu2	cue
cu3	cuu
cu4	cua
cuan1	cioi
cuan2	cioe
cuan3	ciou
cuan4	cioa
cui1	cuii
cui2	cuie
cui3	cuiu
cui4	cuia
cun1	cuoi
cun2	cuoe
cun3	cuou
cun4	cuoa
cuo1	coi
cuo2	coe
cuo3	cou
cuo4	coa
da1	dai
da2	dae
da3	dau
da4	daa
da5	dao
dai1	daii
dai2	daie
dai3	daiu
dai4	daia
dan1	daoi
dan2	daoe
dan3	daou
dan4	daoa
dang1	daei
dang2	daee
dang3	daeu
dang4	daea
dang5	daeo
dao1	daui
dao2	daue
dao3	dauu
dao4	daua
de1	dei
de2	dee
de3	deu
de4	dea
de5	deo
dei1	deii
dei2	deie
dei3	deiu
dei4	deia
den1	deoi
den2	deoe
den3	deou
den4	deoa
deng1	deei
deng2	deee
deng3	deeu
deng4	deea
di1	dii
di2	die
di3	diu
di4	dia
dia1	dui
dia2	due
dia3	duu
dia4	dua
dian1	duoi
dian2	duoe
dian3	duou
dian4	duoa
diao1	duui
diao2	duue
diao3	duuu
diao4	duua
die1	dei
die2	dee
die3	deu
die4	dea
din4	dioa
ding1	diei
ding2	diee
ding3	dieu
ding4	diea
diu1	doui
diu2	doue
diu3	douu
diu4	doua
dong1	doei
dong2	doee
dong3	doeu
dong4	doea
dou1	doui
dou2	doue
dou3	douu
dou4	doua
du1	dui
du2	due
du3	duu
du4	dua
duan1	dioi
duan2	dioe
duan3	diou
duan4	dioa
dui1	duii
dui2	duie
dui3	duiu
dui4	duia
dun1	duoi
dun2	duoe
dun3	duou
dun4	duoa
duo1	doi
duo2	doe
duo3	dou
duo4	doa
duo5	doo
e1	rei
e2	ree
e3	reu
e4	rea
e5	reo
ei1	reii
ei2	reie
ei3	reiu
ei4	reia
en1	reoi
en2	reoe
en3	reou
en4	reoa
eng1	reei
eng2	reee
eng3	reeu
eng4	reea
er1	rii
er2	rie
er3	riu
er4	ria
er5	rio
fa1	fai
fa2	fae
fa3	fau
fa4	faa
fan1	faoi
fan2	faoe
fan3	faou
fan4	faoa
fang1	faei
fang2	faee
fang3	faeu
fang4	faea
fang5	faeo
fei1	feii
fei2	feie
fei3	feiu
fei4	feia
fen1	feoi
fen2	feoe
fen3	feou
fen4	feoa
feng1	feei
feng2	feee
feng3	feeu
feng4	feea
fiao4	fuua
fo1	foi
fo2	foe
fo3	fou
fo4	foa
fou1	foui
fou2	foue
fou3	fouu
fou4	foua
fu1	fui
fu2	fue
fu3	fuu
fu4	fua
fu5	fuo
ga1	gai
ga2	gae
ga3	gau
ga4	gaa
gai1	gaii
gai2	gaie
gai3	gaiu
gai4	gaia
gan1	gaoi
gan2	gaoe
gan3	gaou
gan4	gaoa
gang1	gaei
gang2	gaee
gang3	gaeu
gang4	gaea
gao1	gaui
gao2	gaue
gao3	gauu
gao4	gaua
ge1	gei
ge2	gee
ge3	geu
ge4	gea
gei1	geii
gei2	geie
gei3	geiu
gei4	geia
gen1	geoi
gen2	geoe
gen3	geou
gen4	geoa
geng1	geei
geng2	geee
geng3	geeu
geng4	geea
gong1	goei
gong2	goee
gong3	goeu
gong4	goea
gou1	goui
gou2	goue
gou3	gouu
gou4	goua
gu1	gui
gu2	gue
gu3	guu
gu4	gua
gu5	guo
gua1	gii
gua2	gie
gua3	giu
gua4	gia
guai1	giii
guai2	giie
guai3	giiu
guai4	giia
guan1	gioi
guan2	gioe
guan3	giou
guan4	gioa
guang1	giei
guang2	giee
guang3	gieu
guang4	giea
gui1	guii
gui2	guie
gui3	guiu
gui4	guia
gun1	guoi
gun2	guoe
gun3	guou
gun4	guoa
guo1	goi
guo2	goe
guo3	gou
guo4	goa
guo5	goo
ha1	hai
ha2	hae
ha3	hau
ha4	haa
hai1	haii
hai2	haie
hai3	haiu
hai4	haia
han1	haoi
han2	haoe
han3	haou
han4	haoa
han5	haoo
hang1	haei
hang2	haee
hang3	haeu
hang4	haea
hao1	haui
hao2	haue
hao3	hauu
hao4	haua
he1	hei
he2	hee
he3	heu
he4	hea
hei1	heii
hei2	heie
hei3	heiu
hei4	heia
hen1	heoi
hen2	heoe
hen3	heou
hen4	heoa
heng1	heei
heng2	heee
heng3	heeu
heng4	heea
hm1	heai
hm2	heae
hm3	heau
hm4	heaa
hng1	heei
hng2	heee
hng3	heeu
hng4	heea
hng5	heeo
hong1	hoei
hong2	hoee
hong3	hoeu
hong4	hoea
hou1	houi
hou2	houe
hou3	houu
hou4	houa
hu1	hui
hu2	hue
hu3	huu
hu4	hua
hu5	huo
hua1	hii
hua2	hie
hua3	hiu
