#空格简
b 现在
bb 瑕疵
bf 玩家
bg 三轮车
bh 属于
bj 故事
bk 理解
bl 原因
bn 应该
bp 百分点
bq 弄错
br 瑞士
bs 售价
bt 琢磨
bv 焦虑
bw 珍惜
c 因为
cb 姑娘
cc 颤抖
cd 娃娃
cf 杀人
cg 舆论
ch 研究
cj 妈妈
ck 回答
cl 姨妈
cm 充满
cn 她们
cp 效果
cq 努力
cr 婚姻
cs 如果
ct 毁灭
cv 娴熟
cw 媳妇
cx 率先
cy 市场
d 其实
db 危险
dc 坑人
dd 封建
df 至于
dg 均匀
dh 基本
dj 城市
dk 或者
dl 坦白
dm 去年
dn 地方
dp 罕见
dq 塔楼
dr 兔崽子
ds 免费
dt 土特产
dv 垃圾
dw 解决
dx 坏消息
dy 负责人
f 已经
fb 开玩笑
fc 校园
fd 无数
ff 本人
fg 万一
fh 橘子
fj 于是
fk 格式
fl 天天
fm 背景
fn 想要
fp 互相
fq 开始
fr 棉被
ft 杠杆
fv 植物
fw 检查
fx 画面
fy 两个
g 情况
gb 憔悴
gc 连衣裙
gd 周围
gf 懒得
gg 删除
gh 软件
gj 联系
gk 快递
gl 慢慢
gm 必须
gn 就算
gp 高中
gq 懂得
gr 怕是
gs 够用
gt 高利贷
gv 愤怒
gw 忽略
gx 惬意
gy 情商
h 可以
hb 推荐
hc 搜索
hd 都是
hf 可能
hg 赚钱
hh 打开
hj 控制
hk 收到
hl 提供
hm 批评
hn 投资
hp 抓住
hq 发现
hr 挺好
hs 孩子
ht 帮助
hv 技能
hw 出来
hx 拒绝
hy 排名
j 很多
jb 社区
jc 安全
jd 感觉
jf 完全
jg 具体
jh 害怕
jj 普通
jk 客户
jl 喜欢
jm 它们
jn 宿舍
jp 审核
jq 紧张
jr 骄傲
js 弟弟
jt 家里
jv 实际
jw 首先
jx 慈善
jy 帅哥
k 为什么
kb 需要
kc 各种
kd 页面
kf 肯定
kg 这个
kh 订单
kj 存在
kk 谢谢
kl 话题
km 训练
kn 设计
kp 评论
kq 良心
kr 有人
ks 身体
kv 里面
kw 认为
kx 记得
ky 布局
l 时候
lb 旺盛
lc 气质
ld 晚上
lg 最后
lh 暑假
lj 时间
ll 曝光
lm 昆虫
ln 晃悠
lp 暧昧
lq 照片
lr 房间
ls 精神
lt 东西
lv 昨天
lw 大家
lx 刻意
ly 映射
m 比较
mb 维护
mc 顺便
md 世界
mf 后来
mg 合适
mh 纠结
mj 组织
mk 终于
ml 继续
mm 比如
mn 纱布
mp 缓解
mq 反正
mr 能力
ms 级别
mt 疑惑
mv 质量
mw 重要
mx 细节
my 纳闷
n 什么
nb 几个
nc 依然
nd 觉得
nf 使用
ng 停车
nh 偶尔
nj 修改
nk 住院
nl 代价
nm 健康
nn 他们
np 兴趣
nq 借口
nr 所以
ns 当然
nt 信息
nv 作为
nw 而且
nx 僭越
ny 促进
p 公司
pb 逛街
pc 父母
pd 爱情
pf 桌子
pg 由于
ph 猪肉
pj 狩猎
pk 狼狈
pl 犯罪
pm 公里
pn 猴子
pp 狐狸
pq 贫穷
pr 狗腿子
pt 公积金
pv 魅力
pw 欲望
px 平时
py 猜测
q 难道
qc 欢迎
qf 葬礼
qg 警察
qh 著名
qj 对方
qk 若是
ql 节目
qm 带来
qn 即使
qp 获得
qq 双方
qr 散步
qs 蔬菜
qt 萎缩
qv 某些
qw 茶叶
qx 范围
qy 英语
r 越来越
rb 脏话
rc 臃肿
rd 肚子
rf 印象
rg 胸部
rh 崩溃
rj 办法
rk 脑子
rl 服务
rm 起来
rn 邀请
rp 肝脏
rq 朦胧
rr 朋友
rs 肠胃
rt 超短裙
rv 脖子
rw 脸上
rx 腮红
ry 脾气
s 只是
sb 唯一
sc 吹嘘
sd 吐槽
sg 敢说
sh 听到
sj 中文
sk 味道
sl 强大
sm 兄弟
sn 那个
sq 哎呀
sr 咖啡
ss 哪里
st 啊哈
sv 吃饭
sw 呼吸
sx 承认
sy 虽然
t 知道
tb 陌生
td 隐藏
tf 隔壁
tg 阵容
th 阿姨
tj 阻止
tk 随便
tl 知识
tm 选择
tn 科学
tp 特别
tq 限制
tr 功能
ts 告诉
tt 劲椎
tv 障碍
tw 通过
v 问题
vc 笑话
vd 等等
vf 策略
vg 筷子
vh 意识
vj 真的
vk 准备
vl 复杂
vm 答案
vn 年轻
vp 怎么
vq 支持
vr 协议
vs 第一
vv 简单
vw 签证
vx 敷衍
vy 每天
w 自己
wb 全部
wc 钦佩
wd 铭记
wf 命运
wg 链接
wh 铸造
wj 个人
wk 今天
wl 翻译
wm 键盘
wn 锻炼
