以	a
了	b
发	c
那	d
要	e
大	f
一	g
在	h
事	i
地	j
是	k
上	l
同	m
国	n
中	o
我	p
多	q
和	r
得	s
他	t
的	u
儿	v
家	w
道	x
这	y
为	z
出	aa
幻	ab
幼	ac
盈	ad
骠	ae
参	af
卫	ag
骤	ah
綝	ai
奘	aj
骡	ak
纑	al
马	am
乃	an
台	ao
收	ap
驺	aq
骄	ar
水	as
驳	at
验	au
允	av
及	aw
骥	ax
幺	ay
骗	az
即	ba
书	bb
孙	bc
陂	bd
也	be
飛	bf
艮	bg
随	bh
乙	bi
陵	bj
阳	bk
疏	bl
矛	bm
阻	bn
亟	bo
君	bp
隐	bq
孤	br
阴	bs
飞	bt
乜	bu
降	bv
院	bw
灵	bx
予	by
子	bz
始	ca
好	cb
巛	cc
经	cd
续	ce
练	cf
线	cg
媒	ch
习	ci
结	cj
细	ck
力	cl
母	cm
组	cn
如	co
少	cp
绝	cq
妖	cr
约	cs
办	ct
给	cu
女	cv
娘	cw
小	cx
羽	cy
边	cz
屈	da
巴	db
劝	dc
刀	dd
层	de
民	df
弓	dg
展	dh
已	di
己	dj
引	dk
屝	dl
观	dm
眉	dn
又	do
皮	dp
欢	dq
尾	dr
巳	ds
难	dt
韐	du
尸	dv
尽	dw
弹	dx
弦	dy
違	dz
动	ea
髟	eb
无	ec
丁	ed
二	ee
甫	ef
干	eg
弄	eh
琳	ei
瑚	ej
理	ek
刊	el
馬	em
真	en
可	eo
珠	ep
索	eq
表	er
青	es
进	et
十	eu
王	ev
玉	ew
西	ex
酉	ey
長	ez
报	fa
成	fb
车	fc
把	fd
臣	fe
找	ff
戈	fg
拔	fh
弋	fi
持	fj
提	fk
到	fl
摆	fm
挡	fn
或	fo
致	fp
七	fq
势	fr
示	fs
区	ft
输	fu
指	fv
戊	fw
拦	fx
牙	fy
至	fz
求	ga
不	gb
厂	gc
歹	gd
而	ge
天	gf
元	gg
开	gh
于	gi
压	gj
更	gk
正	gl
面	gm
辰	gn
否	go
殊	gp
确	gq
歼	gr
豕	gs
雁	gt
原	gu
石	gv
兀	gw
来	gx
頁	gy
还	gz
节	ha
艺	hb
甚	hc
取	hd
耳	he
藏	hf
革	hg
若	hh
左	hi
基	hj
存	hk
