ci 离
di 此
ka 意
pi 花
sa 嗯
ta 被
wu 太
wu ☯
yo 旁
bsa 蝇
cvi 懒
fmo 奶
fsa 豆
fxi 贯
gge 测
gya 潭
hro 装
hvo 诙
jci 璃
jge 醒
jja 珠
kme 纵
kvu 亲
mfu 余
nfo 每
svo 喂
b 喜欢
c 这个
d 多少
f 一个
g 没有
h 可以
j 就是
k 感觉
l 忘了
m 放心
n 等等
p 对付
q 能力
r 其实
s 只是
t 因为
v 越来越
w 什么
x 知道
y 要不要
bb 比较
bc 蚊子
bd 食物
bf 师傅
bg 牙疼
bh 弟弟
bj 曾经
bk 养生
bl 道歉
bm 普通人
bn 卫生
bp 并不
bq 判断
br 总而言之
bs 兑换
bt 兼职
bv 兽医
bw 关系
bx 蛇皮
by 塑料
cb 快递费
cc 憔悴
cd 世界
cf 厉害
cg 厕所
ch 懈怠
cj 这样
ck 情况
cl 原因
cm 历史
cn 战争
cp 懂得
cq 惨败
cr 压力
cs 售价
ct 恰好
cv 集中
cw 厌倦
cx 愤怒
cy 性格
db 报销
dc 推荐
dd 研究
df 拥有
dg 永远
dh 打开
dj 主要
dk 找到
dl 科学
dm 良心
dn 搜索
dp 抽搐
dq 抬头
dr 持续
ds 操作
dt 拒绝
dv 希望
dw 投资
dx 技能
dy 擅长
fb 嫌弃
fc 亏本
fd 妹妹
ff 正常
fg 救命
fh 觉得
fj 好的
fk 小时
fl 媳妇
fm 兴趣
fn 来说
fp 开始
fq 始终
fr 母亲
fs 如果
ft 妇女
fv 画面
fw 天天
fx 两个
fy 无效
gb 滋味
gc 泄气
gd 浪费
gf 消息
gg 已经
gh 活动
gj 洗澡
gk 清楚
gl 激动
gm 游戏
gn 淘宝
gp 满足
gq 治病
gr 法律
gs 婆婆
gt 帮助
gv 淋浴
gw 没人
gx 演员
gy 漂亮
hb 说道
hc 危险
hd 奖励
hf 解决
hg 记得
hh 才能
hj 下班
hk 可能
hl 让人
hm 认为
hn 许多
hp 评论
hq 那么
hr 装备
hs 事情
ht 系统
hv 谢谢
hw 状态
hx 计划
hy 训练
jb 严重
jc 长大
jd 时候
jf 现在
jg 配合
jh 矛盾
jj 影响
jk 孩子
jl 明白
jm 预警
jn 瑕疵
jp 暴力
jq 特别
jr 问题
js 告诉
jt 高跟鞋
jv 了解
jw 非常
jx 理解
jy 星期
kb 编辑
kc 轻松
kd 饮料
kf 不好意思
kg 差点
kh 绝对
kj 感冒
kk 辛苦
kl 终于
km 经验
kn 准备
kp 戒指
kq 痛苦
kr 结果
ks 还要
kt 表演
kv 意思
kw 夫人
kx 红包
ky 纠结
lb 服务
lc 脑子
ld 视频
lf 东西
lg 切磋
lh 脆弱
lj 上班
lk 自己
ll 朋友
lm 脸红
ln 上午
lp 腊肉
lq 上台
lr 马上
ls 白眼
lt 上限
lv 膝盖
lw 然后
lx 脖子
ly 胜率
mb 介绍
mc 禽兽
md 今天
mf 通过
mg 分钟
mh 舒服
mj 全部
mk 镜子
ml 钥匙
mm 从来
mn 钓鱼
mp 错误
mq 公司
mr 个人
ms 加上
mt 键盘
mv 办法
mw 方便
mx 针对
my 公交车
nb 烂泥
nc 怎么
nd 尽快
nf 每天
ng 需要
nh 第一
nj 简单
nk 算了
nl 烧烤
nm 烦恼
nn 删除
np 舞台
nq 年龄
nr 精神
ns 够了
nt 答案
nv 策略
nw 故事
nx 午饭
ny 炫耀
pb 节目
pc 难道
pd 申请
pf 菜单
pg 邮件
ph 对手
pj 电影
pk 某些
pl 电视剧
pm 共识
pn 警察
pp 苹果
pq 萝卜
pr 蓝色
ps 茶叶蛋
pt 欢迎
pv 电梯
pw 获得
px 英语
py 鸡蛋
qb 金蝉脱壳
qc 卧室
qd 黑名单
qf 金融
qg 幻觉
qh 能说会道
qj 逻辑
qk 向上
ql 能量
qm 敷衍
qn 帽子
qp 卧薪尝胆
qq 默默无闻
qr 奥斯卡
qs 台阶
qt 金陵
qv 金杯
qw 参与
qx 金字塔
qy 能者多劳
rb 增强
