字符,拆分
好,女子
地,土也
没,氵几又
看,龵目
大,大
在,丨土
得,彳旦寸
了,了
不,不
能,厶月匕匕
的,白勹丶
也,也
我,丿扌戈
是,旦龰
以,乙丶人
就,小尢丶
一,一
出,屮凵
个,人丨
和,禾口
给,纟亼口
上,上
着,目
来,未丷
这,亠乂辶
那,阝
毒,龶母
甸,勹田
负,⺈贝
妇,女彐
姨,女大弓
麦,龶夂
姓,女生
妙,女少
句,句
如,女口
她,女也
母,母
女,女
角,⺈用
嫁,女宀豕
欠,欠
娅,女亚
姐,女且
素,龶糸
久,丶
色,⺈巴
妹,女未
表,龶
娜,女阝
坎,土欠
封,土土寸
坝,土贝
寺,土寸
堆,土隹
略,田夂口
址,土止
声,士尸丨
坏,土不
去,土厶
吉,士口
追,辶
胃,田月
坦,土旦
男,田力
填,土十八
塔,土艹亼口
士,士
土,土
累,田糸
款,士示欠
垣,土二日
坪,土干丷
由,由
城,土戊乙
购,贝勹厶
油,氵由
测,氵贝刂
河,氵丁口
溪,氵爫幺大
汉,氵又
流,氵
派,氵⺁
沙,氵少
卖,头
激,氵白方攵
进,井辶
湖,氵古月
汽,氵气
江,氵工
汁,氵十
渔,氵鱼
满,氵艹两
水,水
海,氵母
波,氵皮
浪,氵丶彐
洋,氵羊
汗,氵干
滚,氵衣八厶
则,贝刂
换,扌⺈冂大
持,扌土寸
顶,丁页
打,扌丁
推,扌隹
拉,扌立
扩,扌广
挖,扌穴乙
即,彐卩
可,丁口
过,寸辶
才,丿
担,扌旦
热,扌九丶灬
搞,扌高
捷,扌一彐龰
搭,扌艹亼口
手,手
播,扌禾丷田
指,扌匕日
灵,彐火
把,扌巴
折,扌斤
于,于
找,扌戈
妥,爫女
奋,大田
贵,贝
夺,大寸
奏,天
非,非
辈,非车
孚,爫子
岛,山
令,亽龴
合,亼口
达,大辶
帮,三丿阝巾
鸟,鸟
今,亽乙
蛇,虫宀匕
韭,非一
爽,大乂乂乂
三,三
天,天
爱,爫冖又
太,大丶
乌,乌
集,隹木
裴,非衣
爪,爪
欢,又欠
备,夂田
硕,石页
对,又寸
难,又隹
双,又又
硫,石
矿,石广
环,王不
面,丆囬
右,口
存,丨子
有,月
百,丆日
左,工
碗,石宀夕㔾
硬,石一日乂
弄,王廾
石,石
现,王冂儿
处,夂卜
王,王
条,夂朩
又,又
戏,又戈
软,车欠
辅,车甫
车,车
很,彳彐
踩,爫木
路,夂口
行,彳亍
充,儿
步,止
起,走己
部,立口阝
连,车辶
产,立丿
音,立日
盘,舟皿
德,彳十罒心
亲,亲
赵,走乂
轮,车人匕
御,彳一卩
此,止匕
往,彳丶王
辆,车两
新,亲斤
旁,方
走,走
孢,子勹巳
庄,广土
厂,厂
厅,厂丁
儿,儿
反,⺁又
广,广
孝,耂子
应,广
爷,父卩
原,厂白小
辽,了辶
居,尸古
都,耂日阝
孔,子乙
盾,⺁十目
度,广廿又
生,生
疾,疒矢
老,耂匕
尽,尸丶⺀
无,无
床,广木
底,广氏丶
子,子
欲,谷欠
八,八
州,⺍川
当,彐
尖,小大
随,阝月辶
谷,谷
光,⺎
举,八二丨
公,八厶
否,不口
还,不辶
阴,阝月
阳,阝日
空,穴工
院,阝宀二儿
前,丷一月刂
并,丷开
少,少
医,匚矢
学,⺍冖子
际,阝示
半,丷二丨
小,小
常,尚巾
分,八刀
情,忄龶月
必,必
臣,臣
导,巳寸
雅,牙隹
改,己攵
骨,骨
性,忄生
快,忄人
己,己
怕,忄白
道,首辶
目,目
慢,忄日罒又
通,龴用辶
惊,忄小
卫,卩一
异,巳廾
身,身
头,头
死,歹匕
卧,臣卜
离,㐫禸
心,心
已,已
自,自
吹,口欠
吐,口土
员,口贝
啦,口扌立
因,囗大
国,囗王丶
嘴,口止匕用
回,回
只,口八
呀,口牙
口,口
吸,口乃丶
固,囗古
喝,口日勹乙
另,口力
品,品
求,求
吨,口屯
事,事
吃,口乙
叫,口丩
吓,口下
吗,口马
听,口斤
吻,口勿
哪,口阝
请,讠龶月
诗,讠土寸
讲,讠井
订,讠丁
谁,讠隹
变,亦又
该,讠亥
乎,乎
说,讠丷口儿
记,讠己
识,讠口八
话,讠舌
诞,讠丿廴
旧,丨日
乱,舌乙
计,讠十
千,千
诺,讠艹口
认,讠人
语,讠五口
调,讠⺆土口
让,讠上
万,万
某,甘木
言,言
之,之
脆,月⺈厂㔾
肚,月土
肼,月井
腿,月彐辶
失,丿夫
故,古攵
古,古
克,古儿
脱,月丷口儿
么,丿厶
名,夕口
乏,丿之
多,夕夕
胆,月旦
血,丿皿
腕,月宀夕㔾
长,丿一乙丶
肉,肉
腹,月日夂
腻,月弋二贝
入,丿丶
然,犬灬
朱,丿未
月,月
刖,月刂
次,冫欠
里,日土
冰,冫水
时,日寸
准,冫隹
旺,日王
题,旦龰页
星,日生
决,冫人
最,日耳又
况,冫口儿
运,云辶
明,日月
昌,日日
动,云力
影,日小彡
气,气
日,日
申,申
需,⻗而
映,日冂大
冲,冫中
晚,日免
果,日木
云,云
早,早
数,米女攵
基,其土
项,工页
豆,豆
类,米大
攻,工攵
工,工
饭,饣⺁又
办,力八
九,九
加,力口
力,力
期,其月
农,农
功,工力
馆,饣宀㠯
其,其
风,几乂
食,食
粗,米且
彭,壴彡
凡,几丶
瓦,瓦
斯,其斤
用,用
饶,饣⺎
安,宀女
官,宀㠯
阔,门氵舌
守,宀寸
害,宀三丨口
支,十又
高,高
字,宀子
京,小
实,宀头
问,门口
门,门
间,门日
协,十力八
定,宀一龰
赛,宀八贝
十,十
直,十
南,十冂丷干
宗,宀示
家,宀豕
所,戶斤
房,户方
戴,十戈田八
画,一田凵
卅,廾丨
正,一止
到,一厶土刂
副,一口田刂
更,一日乂
鳞,鱼米夕㐄
鲸,鱼小
再,一冂土
灭,一火
鲜,鱼羊
鱼,鱼
警,艹句攵言
苗,艹田
顿,屯页
萧,艹彐小
菜,艹爫木
若,艹口
荒,艹亡
著,艹耂日
凶,乂凵
节,艹卩
开,开
带,艹丨冖巾
严,亚丿
草,艹早
世,廿乙
芦,艹户
艾,艹乂
四,四
莉,艹禾刂
英,艹冂大
蒜,艹示示
获,艹犭犬
杀,乂朩
业,业
茅,艹矛
你,亻⺈小
仕,亻士
侧,亻贝刂
付,亻寸
偷,亻亼月刂
全,人王
位,亻立
优,亻尢丶
假,亻丨又
例,亻歹刂
后,𠂋
他,亻也
民,民
会,人云
亿,亻乙
们,亻门
便,亻一日乂
人,人
从,人人
作,亻丨二
化,亻
住,亻丶王
件,亻牛
体,亻本
低,亻氏丶
伐,亻戈
每,母
等,土寸
簿,氵甫寸
耐,而寸
而,而
磨,麻石
年,ヰ
季,禾子
秒,禾少
县,且厶
知,矢口
秀,禾乃
笑,丿大
香,禾日
短,矢豆
管,宀㠯
且,且
舞,龷㐄
书,书
租,禾且
笔,毛
种,禾中
五,五
乘,禾丬匕
笏,勿
第,弓丨丿
约,纟勹丶
周,⺆土口
经,纟ス工
绿,纟彐氺
维,纟隹
发,发
军,冖车
见,冂儿
东,小
惠,心
织,纟口八
级,纟乃丶
毛,毛
旨,匕日
红,纟工
皮,皮
七,七
纯,纟屯
内,冂人
组,纟且
比,匕匕
留,丶刀田
写,冖二乙
乡,乡
纸,纟氏
切,七刀
炮,火勹巳
社,礻土
烦,火页
灯,火丁
烛,火虫
主,丶王
祉,礻止
火,火
炒,火少
忠,中心
占,⺊口
煤,火甘木
餐,⺊夕又食
神,礻申
为,丶丶
炉,火户
福,礻一口田
义,丶乂
示,示
祖,礻且
视,礻冂儿
卡,上卜
祥,礻羊
下,下
炫,火亠幺
中,中
狗,犭句
特,牜土寸
驯,马川
虐,虍
二,二
狂,犭王
骇,马亥
元,二儿
击,二山
犯,犭㔾
告,⺧口
两,两
马,马
牛,牛
与,二乙
驴,马户
犬,犬
虚,虍业
鼠,鼠
兔,兔
制,牛冂刂
养,丶
骥,马丬匕八
物,牜勿
骁,马⺎
欣,斤欠
本,本
耕,耒井
村,木寸
棒,木二丨
权,木又
干,干
版,片⺁又
平,干丷
相,木目
整,木口攵止
近,斤辶
木,木
查,木旦
机,木几
片,片
梗,木一日乂
模,木艹日大
枪,木人㔾
梅,木母
北,丬匕
标,木示
样,木羊
林,木木
校,木六乂
刊,干刂
要,覀女
亩,亠田
贾,覀贝
衬,衤寸
帷,巾隹
方,方
覆,覀彳夂
裤,衤广车
商,亠丷冂口
忽,勿心
帕,巾白
六,六
帐,巾丿一丶
帽,巾曰目
帆,巾几丶
酉,西一
文,亠乂
夜,亠亻夂丶
族,方矢
被,衤皮
补,衤卜
勿,勿
西,西
市,亠巾
初,衤刀
威,戌女
铺,钅甫
预,予页
刀,刀
锥,钅隹
锋,钅夂三丨
戈,戈
尧,⺎
费,弓贝
金,金
或,戈口一
引,弓丨
张,弓丿一丶
弱,弓冫弓冫
成,戊乙
针,钅十
错,钅龷日
锈,钅禾乃
钢,钅冂乂
钟,钅中
戊,戊
柔,矛木
予,予
钱,钅戋
姆,女母
熬,龶勹攵灬
婧,女龶月
敖,龶勹攵
婊,女龶
鳌,龶勹攵鱼
赘,龶勹攵贝
螯,龶勹攵虫
獒,龶勹攵犬
骜,龶勹攵马
遨,龶勹攵辶
鏊,龶勹攵金
纛,龶母系
妁,女勹丶
聱,龶勹攵耳
娃,女土土
嫂,女臼丨又
娉,女由一乙
匍,勹甫
嫘,女田糸
嫱,女土丷回
妯,女由
勹,勹
责,龶贝
急,⺈彐心
争,⺈彐丨
邹,⺈彐阝
皱,⺈彐皮
煞,⺈彐攵灬
雏,⺈彐隹
刍,⺈彐
媛,女爫二夂
鸲,句鸟
嫒,女爫冖又
妗,女亽乙
努,女又力
怒,女又心
奴,女又
弩,女又弓
麸,龶夂夫
驽,女又马
帑,女又巾
胬,女又肉
孥,女又子
嫜,女立早
妮,女尸匕
姚,女儿
危,⺈厂㔾
詹,⺈厂八言
媚,女尸丨目
嫉,女疒矢
姥,女耂匕
娠,女厂二
妩,女无
娓,女尸毛
尔,⺈小
嫌,女丷一
玺,⺈小王丶
娣,女丷弓丿
婵,女丷
迩,⺈小辶
嫦,女尚巾
婀,女阝丁口
妪,女匚乂
姘,女丷开
包,勹巳
始,女厶口
姬,女
勾,勹厶
妃,女己
刨,勹巳刂
媳,女自心
向,口
象,⺈口
娱,女口天
娟,女口月
姻,女囗大
恕,女口心
絮,女口糸
媲,女乂匕
婢,女白丿十
娲,女口冂人
奶,女乃
媒,女甘木
訇,勹言
够,句夕夕
青,龶月
静,龶月⺈丨
姑,女古
妖,女丿大
娇,女丿大
靓,龶月冂儿
娥,女丿扌戈
姝,女丿未
妊,女丿士
靛,龶月宀龰
龟,⺈日乙
匀,勹冫
旬,勹日
妲,女旦
娼,女日日
郇,勹日阝
媪,女日皿
孀,女⻗木目
娌,女日土
解,⺈用刀牛
奥,米大
蟹,⺈用刀虫
触,⺈用虫
妞,女乙土
姊,女乙丨丿
嬉,女壴口
婿,女乙龰月
斛,⺈用⺀十
邂,⺈用刀辶
觞,⺈用丿
姒,女乙丶人
觚,⺈用瓜
觥,⺈用⺎
觯,⺈用丷
劬,句力
觖,⺈用人
觫,⺈用木口
婷,女冖丁
婉,女宀夕㔾
娴,女门木
嫔,女宀丘八
妓,女十又
妒,女户
婶,女宀申
姹,女宀丿七
婕,女一彐龰
嫣,女一止灬
匐,勹一口田
妍,女开
匈,勹乂凵
媸,女屮一虫
媾,女冂土
嫫,女艹日大
嬷,女麻丿厶
姗,女⺆⺆一
奂,⺈冂大
妣,女匕匕
娘,女丶彐
勺,勹丶
灸,丶火
妫,女丶丶
妈,女马
娩,女免
嫩,女木口攵
奸,女干
婚,女氏日
妨,女方
嫡,女亠丷古
嫖,女覀示
姣,女六乂
嬗,女亠回旦
妤,女予
娆,女⺎
均,土勹冫
垧,土口
舄,臼勹灬
坶,土母
墙,土土丷回
埔,土甫
圭,土土
卦,土土卜
埠,土十
舅,臼田力
畦,田土土
恚,土土心
圳,土川
盥,⺽水皿
墚,土氵刀木
町,田丁
圩,土于
垠,土彐
坷,土丁口
埭,土彐氺
埽,土彐冖巾
坞,土乌
垮,土大二乙
畸,田大丁口
畴,田三丿寸
埒,土爫寸
埝,土亽乙心
埯,土大电
甫,甫
畋,田攵
境,土立日儿
培,土立口
垃,土立
舆,⺽车一八
疃,田立日土
垓,土亥
塘,土广彐口
堵,土耂日
坂,土⺁又
馨,士尸丨日
塬,土厂白小
墉,土广彐丨
畈,田⺁又
磬,士尸丨石
罄,士尸丨缶
墀,土尸氺牛
坜,土厂力
坭,土尸匕
圹,土广
謦,士尸丨言
堀,土尸屮凵
增,土丷日
块,土人
幸,土丷干
邮,由阝
丧,土丷
畔,田丷二丨
堰,土匚日女
坯,土不一
逵,土八土辶
啬,土丷回
垲,土山己
却,土厶卩
思,田心
志,士心
埃,土厶矢
劫,土厶力
臼,臼
垴,土㐫
圯,土巳
圮,土己
盍,土厶皿
袁,土口
埤,土白丿十
埕,土口王
颉,士口页
埙,土口贝
埚,土口冂人
迪,由辶
赫,土土
赤,土
郝,土阝
圾,土乃丶
赦,土攵
叟,臼丨又
赭,土耂日
逋,甫辶
赧,土卩又
螫,土攵虫
坩,土甘
胄,由月
埏,土丿廴
堋,土月月
埋,土日土
坤,土申
坛,土云
堤,土旦龰
塌,土日羽
埸,土日勿
墁,土日罒又
埘,土日寸
场,土乙丿丿
毁,臼工几又
堪,土其乙
垛,土几木
塄,土罒方
嬲,田力女力
阜,十
墩,土子攵
坨,土宀匕
壕,土冖豕
垸,土宀二儿
畹,田宀夕㔾
埴,土十
埂,土一日乂
畀,田一
垤,土一厶土
塥,土一口丨
垭,土亚
堞,土廿乙木
舁,臼廾
界,田人
垢,土𠂋
臾,臼人
畛,田人彡
堠,土亻矢
田,田
圪,土乙
壳,士冖几
坡,土皮
壶,士冖业
壹,士冖豆
懿,士冖豆心
毗,田匕匕
坳,土幺力
毂,士冖车又
坍,土⺆亠
悫,士冖几心
爨,⺽冂一火
垌,土冂一口
彀,士冖一又
觳,士冖一又
璺,⺽冂一丶
